	Total IC	Average IC	Length
3D-footprint	11.560761999999999	1.286967	9.0
chen2008	15.817352	1.2289245	13.0
Cis-BP_human	12.962814999999999	1.073013	12.0
Guertin	15.369951	1.164593	16.0
hallikas2006	15.0304505	1.3664045	11.0
HOCOMOCOv11_full_HUMAN_mono	12.092568	0.9404030000000001	13.0
Homer_human	12.8259615	1.107777	12.0
humanC2H2ZF-ChIP-2015	13.7384195	1.338238	12.0
JASPAR2020_CORE_vertebrates_non-redundant_pfms	12.573871	1.1010339999999998	12.0
jolma2013	14.579417000000001	1.210221	12.0
Kheradpour-2013	13.300650999999998	1.2926595	10.0
macisaac_themev1	10.2501295	1.1983505	8.0
SMILE-seq-human	10.6949525	0.9740420000000001	11.0
Swissregulon-motifs_v2	12.6803495	1.067019	12.0
TF2DNA-human-motifs	9.240317000000001	1.082605	9.0
Transfac	12.6885035	1.0449570000000001	12.0
uniprobe_mouse	12.3174885	0.750154	16.0
wei2010_human_mws	9.816396000000001	0.98164	10.0
wei2010_mouse_mws	9.881477499999999	0.988148	10.0
wei2010_mouse_pbm	12.8529825	1.2852985000000001	10.0
zhao2011	4.7986509999999996	0.479865	10.0
Zlab_chipseq	15.3638035	1.149775	15.0
