Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
M03784_2.00	7.150285	0.715029	10	0.468000	0.466000	0.572000	0.464000
M03785_2.00	11.833721	1.183372	10	0.457000	0.485000	0.428000	0.477000
M06226_2.00	11.316117	1.414515	8	0.446000	0.463000	0.454000	0.466000
M06227_2.00	9.646343	1.205793	8	0.445000	0.443000	0.432000	0.443000
M06228_2.00	7.201707	0.900213	8	0.445000	0.436000	0.573000	0.436000
M06481_2.00	11.180905	1.597272	7	0.453000	0.465000	0.437000	0.467000
M09675_2.00	9.919056	1.239882	8	0.447000	0.445000	0.427000	0.445000
M10784_2.00	8.853576	0.553349	16	0.438000	0.455000	0.553000	0.456000
Dfd	9.646343	1.205793	8	0.445000	0.443000	0.432000	0.443000
Dfd_Cell_FBgn0000439	11.316117	1.414515	8	0.446000	0.463000	0.454000	0.466000
Dfd_FlyReg_FBgn0000439	9.646343	1.205793	8	0.445000	0.443000	0.432000	0.443000
Dfd_SOLEXA_FBgn0000439	7.201707	0.900213	8	0.445000	0.436000	0.573000	0.436000
MA0186.1	11.180905	1.597272	7	0.453000	0.465000	0.437000	0.467000
Dfd	11.455683	1.145568	10	0.445000	0.443000	0.432000	0.443000
