Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
M03784_2.00	2	5	9.38e-01	0.028	0.479	0.500	0.40	0.0000
M03785_2.00	10	5	1.49e-01	0.827	0.489	0.497	2.00	0.0000
M06226_2.00	5	5	6.24e-01	0.205	0.474	0.484	1.00	0.0020
M06227_2.00	8	5	2.89e-01	0.539	0.476	0.491	1.60	0.0000
M06228_2.00	7	5	3.87e-01	0.413	0.459	0.481	1.40	0.0020
M06481_2.00	4	5	7.47e-01	0.127	0.476	0.485	0.80	0.0020
M09675_2.00	7	5	3.87e-01	0.413	0.480	0.496	1.40	0.0040
M10784_2.00	4	5	7.47e-01	0.127	0.464	0.494	0.80	0.0040
Dfd	8	5	2.89e-01	0.539	0.476	0.491	1.60	0.0000
Dfd_Cell_FBgn0000439	5	5	6.24e-01	0.205	0.474	0.484	1.00	0.0020
Dfd_FlyReg_FBgn0000439	8	5	2.89e-01	0.539	0.476	0.491	1.60	0.0000
Dfd_SOLEXA_FBgn0000439	7	5	3.87e-01	0.413	0.459	0.481	1.40	0.0020
Dfd_1	5	5	6.24e-01	0.205	0.478	0.486	1.00	0.0020
Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
M03784_2.00	14	5	3.05e-02	1.515	0.524	0.537	2.80	0.0040
M03785_2.00	11	5	1.03e-01	0.986	0.513	0.520	2.20	0.0020
M06226_2.00	6	6	6.13e-01	0.212	0.502	0.505	1.00	0.0020
M06227_2.00	4	6	8.29e-01	0.081	0.476	0.489	0.67	0.0000
M06228_2.00	4	5	7.47e-01	0.127	0.461	0.483	0.80	0.0020
M06481_2.00	6	5	5.00e-01	0.301	0.509	0.510	1.20	0.0040
M09675_2.00	10	5	1.49e-01	0.827	0.500	0.506	2.00	0.0020
M10784_2.00	8	5	2.89e-01	0.539	0.464	0.478	1.60	0.0120
Dfd	4	6	8.29e-01	0.081	0.476	0.489	0.67	0.0000
Dfd_Cell_FBgn0000439	6	6	6.13e-01	0.212	0.502	0.505	1.00	0.0020
Dfd_FlyReg_FBgn0000439	4	6	8.29e-01	0.081	0.476	0.489	0.67	0.0000
Dfd_SOLEXA_FBgn0000439	4	5	7.47e-01	0.127	0.461	0.483	0.80	0.0020
Dfd_1	4	5	7.47e-01	0.127	0.507	0.508	0.80	0.0040
Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
M03784_2.00	0	4	1.00e+00	-0.000	0.471	0.472	0.00	0.0000
M03785_2.00	2	4	8.92e-01	0.050	0.459	0.470	0.50	0.0000
M06226_2.00	0	4	1.00e+00	-0.000	0.468	0.472	0.00	0.0000
M06227_2.00	0	4	1.00e+00	-0.000	0.503	0.500	0.00	0.0000
M06228_2.00	0	4	1.00e+00	-0.000	0.466	0.469	0.00	0.0000
M06481_2.00	0	4	1.00e+00	-0.000	0.462	0.470	0.00	0.0000
M09675_2.00	0	4	1.00e+00	-0.000	0.457	0.472	0.00	0.0000
M10784_2.00	1	4	9.69e-01	0.014	0.498	0.494	0.25	0.0000
Dfd	0	4	1.00e+00	-0.000	0.503	0.500	0.00	0.0000
Dfd_Cell_FBgn0000439	0	4	1.00e+00	-0.000	0.468	0.472	0.00	0.0000
Dfd_FlyReg_FBgn0000439	0	4	1.00e+00	-0.000	0.503	0.500	0.00	0.0000
Dfd_SOLEXA_FBgn0000439	0	4	1.00e+00	-0.000	0.466	0.469	0.00	0.0000
Dfd_1	0	4	1.00e+00	-0.000	0.466	0.473	0.00	0.0000
