Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
M03784_2.00	7.150285	0.715029	10	0.941000	0.983000	1.168000	0.980000
M03785_2.00	11.833721	1.183372	10	0.925000	0.988000	0.964000	0.984000
M06226_2.00	11.316117	1.414515	8	0.908000	0.970000	0.961000	0.972000
M06227_2.00	9.646343	1.205793	8	0.917000	0.960000	0.959000	0.961000
M06228_2.00	7.201707	0.900213	8	0.915000	0.948000	1.168000	0.949000
M06481_2.00	11.180905	1.597272	7	0.922000	0.973000	0.958000	0.974000
M09675_2.00	9.919056	1.239882	8	0.915000	0.955000	0.962000	0.957000
M10784_2.00	8.853576	0.553349	16	0.912000	0.972000	1.122000	0.974000
Dfd	9.646343	1.205793	8	0.917000	0.960000	0.959000	0.961000
Dfd_Cell_FBgn0000439	11.316117	1.414515	8	0.908000	0.970000	0.961000	0.972000
Dfd_FlyReg_FBgn0000439	9.646343	1.205793	8	0.917000	0.960000	0.959000	0.961000
Dfd_SOLEXA_FBgn0000439	7.201707	0.900213	8	0.915000	0.948000	1.168000	0.949000
MA0186.1	11.180905	1.597272	7	0.922000	0.973000	0.958000	0.974000
Dfd	11.455683	1.145568	10	0.917000	0.960000	0.959000	0.961000
