Motif	ENCFF846DBY	ENCFF400LCF	ENCFF914PMB	Average
br_SANGER_10_FBgn0000210	0.0	1.0	0.0	0.3333333333333333
M10097_2.00	0.0	0.0	0.0	0.0
br_SOLEXA_10_FBgn0000210	0.0	0.0	0.0	0.0
M10367_2.00	0.0	0.0	0.0	0.0
M10366_2.00	0.0	0.0	0.0	0.0
M10365_2.00	0.0	0.0	0.0	0.0
M08449_2.00	0.0	0.0	0.0	0.0
M08448_2.00	0.0	0.0	0.0	0.0
M08447_2.00	0.0	0.0	0.0	0.0
M08446_2.00	0.0	0.0	0.0	0.0
M06036_2.00	0.0	0.0	0.0	0.0
M06035_2.00	0.0	0.0	0.0	0.0
M06034_2.00	0.0	0.0	0.0	0.0
M06033_2.00	0.0	0.0	0.0	0.0
M06032_2.00	0.0	0.0	0.0	0.0
M06031_2.00	0.0	0.0	0.0	0.0
M06030_2.00	0.0	0.0	0.0	0.0
M06029_2.00	0.0	0.0	0.0	0.0
M06028_2.00	0.0	0.0	0.0	0.0
MA0010.1	0.0	0.0	0.0	0.0
