Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
M10097_2.00	3	5	8.56e-01	0.067	0.479	0.476	0.60	0.0000
M06028_2.00	2	5	9.38e-01	0.028	0.541	0.538	0.40	0.0000
M06029_2.00	5	5	6.24e-01	0.205	0.493	0.501	1.00	0.0040
M06030_2.00	3	5	8.56e-01	0.067	0.516	0.509	0.60	0.0000
M06031_2.00	3	6	9.11e-01	0.040	0.481	0.480	0.50	0.0000
M06032_2.00	4	5	7.47e-01	0.127	0.528	0.517	0.80	0.0000
M06033_2.00	2	5	9.38e-01	0.028	0.473	0.481	0.40	0.0000
M06034_2.00	6	5	5.00e-01	0.301	0.562	0.555	1.20	0.0020
M06035_2.00	2	5	9.38e-01	0.028	0.490	0.483	0.40	0.0000
M06036_2.00	6	6	6.13e-01	0.212	0.485	0.497	1.00	0.0000
M08446_2.00	0	5	1.00e+00	-0.000	0.462	0.464	0.00	0.0000
M08447_2.00	6	6	6.13e-01	0.212	0.479	0.488	1.00	0.0000
M08448_2.00	3	5	8.56e-01	0.067	0.508	0.504	0.60	0.0000
M08449_2.00	5	5	6.24e-01	0.205	0.494	0.486	1.00	0.0020
M10365_2.00	10	5	1.49e-01	0.827	0.523	0.517	2.00	0.0000
M10366_2.00	1	5	9.85e-01	0.007	0.508	0.499	0.20	0.0000
M10367_2.00	4	5	7.47e-01	0.127	0.479	0.480	0.80	0.0000
br_SANGER_10_FBgn0000210	3	6	9.11e-01	0.040	0.481	0.480	0.50	0.0000
br_SOLEXA_10_FBgn0000210	4	5	7.47e-01	0.127	0.528	0.517	0.80	0.0000
Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
M10097_2.00	2	5	9.38e-01	0.028	0.461	0.457	0.40	0.0000
M06028_2.00	1	6	9.92e-01	0.003	0.524	0.529	0.17	0.0000
M06029_2.00	12	5	7.00e-02	1.155	0.502	0.518	2.40	0.0200
M06030_2.00	1	5	9.85e-01	0.007	0.524	0.524	0.20	0.0000
M06031_2.00	10	5	1.49e-01	0.827	0.509	0.518	2.00	0.0020
M06032_2.00	12	5	7.00e-02	1.155	0.501	0.510	2.40	0.0000
M06033_2.00	3	5	8.56e-01	0.067	0.450	0.472	0.60	0.0000
M06034_2.00	19	5	3.00e-03	2.523	0.550	0.539	3.80	0.0220
M06035_2.00	9	5	2.10e-01	0.677	0.487	0.495	1.80	0.0000
M06036_2.00	1	5	9.85e-01	0.007	0.480	0.476	0.20	0.0000
M08446_2.00	1	5	9.85e-01	0.007	0.447	0.454	0.20	0.0000
M08447_2.00	6	5	5.00e-01	0.301	0.494	0.486	1.20	0.0000
M08448_2.00	2	5	9.38e-01	0.028	0.491	0.478	0.40	0.0020
M08449_2.00	1	5	9.85e-01	0.007	0.496	0.479	0.20	0.0000
M10365_2.00	2	5	9.38e-01	0.028	0.479	0.472	0.40	0.0000
M10366_2.00	2	5	9.38e-01	0.028	0.480	0.479	0.40	0.0020
M10367_2.00	3	5	8.56e-01	0.067	0.477	0.481	0.60	0.0000
br_SANGER_10_FBgn0000210	10	5	1.49e-01	0.827	0.509	0.518	2.00	0.0020
br_SOLEXA_10_FBgn0000210	12	5	7.00e-02	1.155	0.501	0.510	2.40	0.0000
Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
M10097_2.00	1	1	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
M06028_2.00	1	1	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
M06029_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M06030_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M06031_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M06032_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M06033_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M06034_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M06035_2.00	1	1	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
M06036_2.00	1	1	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
M08446_2.00	1	1	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
M08447_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M08448_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M08449_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M10365_2.00	1	1	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
M10366_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M10367_2.00	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
br_SANGER_10_FBgn0000210	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
br_SOLEXA_10_FBgn0000210	0	1	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
