Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
4971_h_DrosophilaTF	10.411616	0.743687	14	0.529000	0.547000	0.529000	0.565000
M03594_2.00	12.722430	1.060203	12	0.512000	0.524000	0.533000	0.528000
M05935_2.00	14.533408	1.453341	10	0.528000	0.539000	0.529000	0.533000
M05936_2.00	16.666912	1.666691	10	0.525000	0.533000	0.529000	0.518000
M06463_2.00	10.117415	1.011741	10	0.527000	0.533000	0.529000	0.535000
M09656_2.00	9.142493	0.914249	10	0.513000	0.522000	0.529000	0.529000
M09891_2.00	10.411450	0.743675	14	0.529000	0.547000	0.529000	0.565000
h_NAR_FBgn0001168	14.533408	1.453341	10	0.528000	0.539000	0.529000	0.533000
h_SANGER_5_FBgn0001168	16.666912	1.666691	10	0.525000	0.533000	0.529000	0.518000
MA0449.1	10.117415	1.011741	10	0.527000	0.533000	0.529000	0.535000
