Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
4971_h_DrosophilaTF	10.411616	0.743687	14	1.078000	1.125000	1.070000	1.145000
M03594_2.00	12.722430	1.060203	12	1.064000	1.090000	1.081000	1.109000
M05935_2.00	14.533408	1.453341	10	1.074000	1.099000	1.074000	1.096000
M05936_2.00	16.666912	1.666691	10	1.058000	1.085000	1.073000	1.058000
M06463_2.00	10.117415	1.011741	10	1.078000	1.096000	1.075000	1.097000
M09656_2.00	9.142493	0.914249	10	1.051000	1.088000	1.074000	1.093000
M09891_2.00	10.411450	0.743675	14	1.078000	1.125000	1.070000	1.145000
h_NAR_FBgn0001168	14.533408	1.453341	10	1.074000	1.099000	1.074000	1.096000
h_SANGER_5_FBgn0001168	16.666912	1.666691	10	1.058000	1.085000	1.073000	1.058000
MA0449.1	10.117415	1.011741	10	1.078000	1.096000	1.075000	1.097000
