Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
lola-PO_SANGER_5_FBgn0005630	11.673010	1.459126	8	0.465000	0.451000	0.457000	0.482000
lola-PO_SOLEXA_FBgn0005630	11.695556	0.779704	15	0.444000	0.452000	0.443000	0.507000
lola-PK_SOLEXA_FBgn0005630	9.711743	0.882886	11	0.463000	0.430000	0.440000	0.481000
lola-PT_SANGER_5_FBgn0005630	12.128260	1.516032	8	0.492000	0.521000	0.539000	0.569000
lola-PT_SOLEXA_FBgn0005630	11.540783	0.769386	15	0.509000	0.488000	0.560000	0.552000
M06091_2.00	9.863010	1.409001	7	0.422000	0.401000	0.435000	0.398000
M06092_2.00	12.975168	1.441685	9	0.476000	0.394000	0.473000	0.411000
M06093_2.00	12.396310	1.377368	9	0.441000	0.473000	0.431000	0.524000
M06094_2.00	13.787362	1.378736	10	0.481000	0.507000	0.560000	0.483000
M06095_2.00	11.142530	1.591790	7	0.505000	0.473000	0.565000	0.452000
M06096_2.00	12.606315	1.800902	7	0.570000	0.551000	0.566000	0.539000
M06097_2.00	10.657835	0.968894	11	0.504000	0.541000	0.574000	0.553000
M06098_2.00	12.467640	1.385293	9	0.449000	0.439000	0.449000	0.463000
M06099_2.00	11.673010	1.459126	8	0.465000	0.451000	0.457000	0.482000
M06100_2.00	10.751478	1.194609	9	0.485000	0.450000	0.558000	0.464000
M06101_2.00	12.128260	1.516032	8	0.492000	0.521000	0.539000	0.569000
M06102_2.00	11.950478	1.327831	9	0.516000	0.500000	0.479000	0.529000
M06103_2.00	11.061044	1.580149	7	0.547000	0.536000	0.436000	0.535000
M06104_2.00	10.632368	1.181374	9	0.429000	0.395000	0.449000	0.389000
M06105_2.00	13.081704	1.868815	7	0.561000	0.510000	0.559000	0.504000
M06106_2.00	12.807080	1.423009	9	0.538000	0.507000	0.562000	0.511000
lola_PK_SANGER_5_FBgn0005630	10.657835	0.968894	11	0.504000	0.541000	0.574000	0.553000
lola_SANGER_5_FBgn0005630	13.081704	1.868815	7	0.561000	0.510000	0.559000	0.504000
lola_SOLEXA_5_FBgn0005630	12.807080	1.423009	9	0.538000	0.507000	0.562000	0.511000
lola-PJ_SANGER_5_FBgn0005630	12.606315	1.800902	7	0.570000	0.551000	0.566000	0.539000
lola-PJ_SOLEXA_FBgn0005630	12.522590	0.834839	15	0.567000	0.596000	0.556000	0.590000
lola-PW_SANGER_5_FBgn0005630	11.061044	1.580149	7	0.547000	0.536000	0.436000	0.535000
lola-PW_SOLEXA_FBgn0005630	11.062425	1.106242	10	0.537000	0.520000	0.491000	0.543000
lola-PA_SANGER_5_FBgn0005630	9.863010	1.409001	7	0.422000	0.401000	0.435000	0.398000
lola-PA_SOLEXA_FBgn0005630	8.311613	0.554108	15	0.394000	0.385000	0.439000	0.385000
lola-PC_SANGER_5_FBgn0005630	12.975168	1.441685	9	0.476000	0.394000	0.473000	0.411000
lola-PC_SOLEXA_FBgn0005630	10.368093	0.942554	11	0.480000	0.481000	0.437000	0.467000
lola-PU_SANGER_5_FBgn0005630	11.950478	1.327831	9	0.516000	0.500000	0.479000	0.529000
lola-PU_SOLEXA_FBgn0005630	11.427211	0.879016	13	0.500000	0.493000	0.436000	0.535000
lola-PD_SANGER_5_FBgn0005630	12.396310	1.377368	9	0.441000	0.473000	0.431000	0.524000
lola-PD_SOLEXA_FBgn0005630	11.016819	0.734455	15	0.431000	0.375000	0.441000	0.464000
lola-PY_SANGER_2.5_FBgn0005630	10.632368	1.181374	9	0.429000	0.395000	0.449000	0.389000
lola-PY_SOLEXA_FBgn0005630	10.276153	0.685077	15	0.429000	0.425000	0.561000	0.417000
lola-PQ_SANGER_5_FBgn0005630	10.751478	1.194609	9	0.485000	0.450000	0.558000	0.464000
lola-PQ_SOLEXA_FBgn0005630	11.169476	0.744632	15	0.468000	0.419000	0.489000	0.407000
lola-PL_SANGER_2.5_FBgn0005630	12.467640	1.385293	9	0.449000	0.439000	0.449000	0.463000
lola-PL_SOLEXA_FBgn0005630	10.233839	0.730988	14	0.424000	0.403000	0.423000	0.425000
lola-PG_SANGER_2.5_FBgn0005630	11.142530	1.591790	7	0.505000	0.473000	0.565000	0.452000
lola-PG_SOLEXA_FBgn0005630	10.647489	0.967954	11	0.534000	0.539000	0.476000	0.552000
lola-PF_SANGER_5_FBgn0005630	13.787362	1.378736	10	0.481000	0.507000	0.560000	0.483000
lola-PF_SOLEXA_FBgn0005630	13.054107	0.870274	15	0.437000	0.481000	0.519000	0.417000
