Motif	ENCFF742LVH	ENCFF603JQT	ENCFF275OIZ	ENCFF624NYK	ENCFF048PDV	Average
lola-PW_SOLEXA_FBgn0005630	13.4	0	-0.0	-0.0	-0.0	2.68
M06091_2.00	4.76	-0.0	-0.0	-0.0	0.57	1.066
lola-PA_SANGER_5_FBgn0005630	5.1	0	-0.0	0.0	0.0	1.02
lola-PW_SANGER_5_FBgn0005630	4.93	-0.0	0.0	-0.0	-0.0	0.986
M06103_2.00	4.26	0.12	-0.0	-0.0	-0.0	0.876
lola-PF_SOLEXA_FBgn0005630	4.19	0.0	-0.0	-0.0	-0.0	0.8380000000000001
lola-PO_SANGER_5_FBgn0005630	2.62	-0.0	-0.0	-0.0	-0.0	0.524
lola_SANGER_5_FBgn0005630	2.48	0	-0.0	0.0	-0.0	0.496
M06099_2.00	2.08	-0.0	-0.0	-0.0	-0.0	0.41600000000000004
M06105_2.00	1.85	-0.0	0.0	-0.0	0.0	0.37
lola_SOLEXA_5_FBgn0005630	1.69	0	0.0	-0.0	-0.0	0.33799999999999997
lola-PG_SOLEXA_FBgn0005630	1.45	-0.0	-0.0	-0.0	-0.0	0.29
M06106_2.00	1.21	-0.0	-0.0	-0.0	-0.0	0.242
lola-PA_SOLEXA_FBgn0005630	0.61	0	0.45	0.0	0.0	0.21200000000000002
M06104_2.00	0.38	-0.0	-0.0	0.01	-0.0	0.078
M06095_2.00	0.37	-0.0	-0.0	-0.0	-0.0	0.074
lola-PQ_SOLEXA_FBgn0005630	0.0	-0.0	0.09	0.0	-0.0	0.018
lola-PY_SANGER_2.5_FBgn0005630	0.0	-0.0	-0.0	0.08	-0.0	0.016
lola-PD_SOLEXA_FBgn0005630	-0.0	0	0.06	-0.0	0.0	0.012
lola-PQ_SANGER_5_FBgn0005630	0.05	-0.0	-0.0	-0.0	-0.0	0.01
lola-PC_SANGER_5_FBgn0005630	0.05	0	0.0	0.0	0.0	0.01
lola-PK_SOLEXA_FBgn0005630	0.0	0	-0.0	-0.0	0.04	0.008
lola-PT_SANGER_5_FBgn0005630	0.04	0	-0.0	-0.0	0.0	0.008
M06098_2.00	0.01	-0.0	-0.0	-0.0	0.0	0.002
lola-PG_SANGER_2.5_FBgn0005630	0.0	0	-0.0	-0.0	-0.0	0.0
lola-PO_SOLEXA_FBgn0005630	0.0	-0.0	-0.0	-0.0	-0.0	0.0
lola-PD_SANGER_5_FBgn0005630	0.0	-0.0	0.0	0.0	-0.0	0.0
lola-PL_SANGER_2.5_FBgn0005630	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
lola-PL_SOLEXA_FBgn0005630	0.0	-0.0	-0.0	-0.0	-0.0	0.0
lola-PY_SOLEXA_FBgn0005630	0.0	0	-0.0	-0.0	-0.0	0.0
M06092_2.00	0.0	-0.0	-0.0	0.0	0.0	0.0
M06093_2.00	-0.0	-0.0	0.0	-0.0	-0.0	0.0
M06094_2.00	-0.0	-0.0	-0.0	-0.0	0.0	0.0
M06096_2.00	0.0	-0.0	-0.0	-0.0	-0.0	0.0
M06097_2.00	-0.0	-0.0	-0.0	0.0	-0.0	0.0
M06100_2.00	0.0	-0.0	-0.0	-0.0	-0.0	0.0
M06101_2.00	0.0	-0.0	-0.0	-0.0	-0.0	0.0
M06102_2.00	0.0	-0.0	-0.0	-0.0	-0.0	0.0
lola_PK_SANGER_5_FBgn0005630	-0.0	-0.0	0.0	0.0	-0.0	0.0
lola-PC_SOLEXA_FBgn0005630	0.0	-0.0	-0.0	0.0	-0.0	0.0
lola-PT_SOLEXA_FBgn0005630	-0.0	-0.0	-0.0	0.0	-0.0	0.0
lola-PF_SANGER_5_FBgn0005630	-0.0	-0.0	-0.0	-0.0	0.0	0.0
lola-PU_SANGER_5_FBgn0005630	-0.0	0	-0.0	-0.0	-0.0	0.0
lola-PU_SOLEXA_FBgn0005630	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
lola-PJ_SANGER_5_FBgn0005630	0.0	0	-0.0	-0.0	0.0	0.0
lola-PJ_SOLEXA_FBgn0005630	-0.0	-0.0	-0.0	-0.0	-0.0	0.0
