Motif	ENCFF742LVH	ENCFF603JQT	ENCFF275OIZ	ENCFF624NYK	ENCFF048PDV	Average
M06091_2.00	0.3552238805970149	0.0	0.0	0.0	1.0	0.271044776119403
M06103_2.00	0.317910447761194	1.0	0.0	0.0	0.0	0.26358208955223883
lola-PA_SOLEXA_FBgn0005630	0.04552238805970149	0.0	1.0	0.0	0.0	0.20910447761194031
lola-PW_SOLEXA_FBgn0005630	1.0	0.0	0.0	0.0	0.0	0.2
lola-PY_SANGER_2.5_FBgn0005630	0.0	0.0	0.0	1.0	0.0	0.2
lola-PA_SANGER_5_FBgn0005630	0.3805970149253731	0.0	0.0	0.0	0.0	0.07611940298507462
lola-PW_SANGER_5_FBgn0005630	0.367910447761194	0.0	0.0	0.0	0.0	0.0735820895522388
lola-PF_SOLEXA_FBgn0005630	0.31268656716417914	0.0	0.0	0.0	0.0	0.06253731343283583
lola-PQ_SOLEXA_FBgn0005630	0.0	0.0	0.19999999999999998	0.0	0.0	0.039999999999999994
lola-PO_SANGER_5_FBgn0005630	0.19552238805970149	0.0	0.0	0.0	0.0	0.039104477611940296
lola_SANGER_5_FBgn0005630	0.18507462686567164	0.0	0.0	0.0	0.0	0.037014925373134326
M06099_2.00	0.15522388059701492	0.0	0.0	0.0	0.0	0.031044776119402984
M06104_2.00	0.02835820895522388	0.0	0.0	0.125	0.0	0.030671641791044774
M06105_2.00	0.13805970149253732	0.0	0.0	0.0	0.0	0.027611940298507463
lola-PD_SOLEXA_FBgn0005630	0.0	0.0	0.13333333333333333	0.0	0.0	0.026666666666666665
lola_SOLEXA_5_FBgn0005630	0.12611940298507462	0.0	0.0	0.0	0.0	0.025223880597014924
lola-PG_SOLEXA_FBgn0005630	0.10820895522388059	0.0	0.0	0.0	0.0	0.021641791044776117
M06106_2.00	0.09029850746268656	0.0	0.0	0.0	0.0	0.01805970149253731
lola-PK_SOLEXA_FBgn0005630	0.0	0.0	0.0	0.0	0.07017543859649124	0.014035087719298248
M06095_2.00	0.027611940298507463	0.0	0.0	0.0	0.0	0.0055223880597014925
lola-PQ_SANGER_5_FBgn0005630	0.0037313432835820895	0.0	0.0	0.0	0.0	0.0007462686567164179
lola-PC_SANGER_5_FBgn0005630	0.0037313432835820895	0.0	0.0	0.0	0.0	0.0007462686567164179
lola-PT_SANGER_5_FBgn0005630	0.0029850746268656717	0.0	0.0	0.0	0.0	0.0005970149253731343
M06098_2.00	0.0007462686567164179	0.0	0.0	0.0	0.0	0.00014925373134328358
lola-PG_SANGER_2.5_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PO_SOLEXA_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PJ_SANGER_5_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PU_SOLEXA_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PU_SANGER_5_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PF_SANGER_5_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PT_SOLEXA_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PC_SOLEXA_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola_PK_SANGER_5_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
M06102_2.00	0.0	0.0	0.0	0.0	0.0	0.0
M06101_2.00	0.0	0.0	0.0	0.0	0.0	0.0
M06100_2.00	0.0	0.0	0.0	0.0	0.0	0.0
M06097_2.00	0.0	0.0	0.0	0.0	0.0	0.0
M06096_2.00	0.0	0.0	0.0	0.0	0.0	0.0
M06094_2.00	0.0	0.0	0.0	0.0	0.0	0.0
M06093_2.00	0.0	0.0	0.0	0.0	0.0	0.0
M06092_2.00	0.0	0.0	0.0	0.0	0.0	0.0
lola-PY_SOLEXA_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PL_SOLEXA_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PL_SANGER_2.5_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PD_SANGER_5_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
lola-PJ_SOLEXA_FBgn0005630	0.0	0.0	0.0	0.0	0.0	0.0
