Motif_name	Motif_IC	Average_IC	Motif_length	energy	gomer	sumlog	sumoc
lola-PO_SANGER_5_FBgn0005630	11.673010	1.459126	8	0.982000	0.970000	0.972000	0.990000
lola-PO_SOLEXA_FBgn0005630	11.695556	0.779704	15	0.945000	1.019000	0.960000	1.072000
lola-PK_SOLEXA_FBgn0005630	9.711743	0.882886	11	1.000000	0.962000	0.953000	1.010000
lola-PT_SANGER_5_FBgn0005630	12.128260	1.516032	8	1.028000	1.055000	1.130000	1.138000
lola-PT_SOLEXA_FBgn0005630	11.540783	0.769386	15	1.050000	1.008000	1.186000	1.073000
M06091_2.00	9.863010	1.409001	7	0.948000	0.942000	0.969000	0.941000
M06092_2.00	12.975168	1.441685	9	1.060000	0.920000	1.026000	0.931000
M06093_2.00	12.396310	1.377368	9	0.970000	0.993000	0.936000	1.043000
M06094_2.00	13.787362	1.378736	10	1.032000	1.026000	1.186000	0.986000
M06095_2.00	11.142530	1.591790	7	1.068000	1.020000	1.189000	1.008000
M06096_2.00	12.606315	1.800902	7	1.135000	1.094000	1.131000	1.089000
M06097_2.00	10.657835	0.968894	11	1.038000	1.120000	1.190000	1.112000
M06098_2.00	12.467640	1.385293	9	0.989000	0.965000	0.966000	0.981000
M06099_2.00	11.673010	1.459126	8	0.982000	0.970000	0.972000	0.990000
M06100_2.00	10.751478	1.194609	9	1.021000	0.973000	1.147000	0.980000
M06101_2.00	12.128260	1.516032	8	1.028000	1.055000	1.130000	1.138000
M06102_2.00	11.950478	1.327831	9	1.072000	1.021000	1.020000	1.044000
M06103_2.00	11.061044	1.580149	7	1.087000	1.113000	0.946000	1.114000
M06104_2.00	10.632368	1.181374	9	0.934000	0.900000	0.967000	0.898000
M06105_2.00	13.081704	1.868815	7	1.114000	1.102000	1.142000	1.128000
M06106_2.00	12.807080	1.423009	9	1.102000	1.097000	1.157000	1.105000
lola_PK_SANGER_5_FBgn0005630	10.657835	0.968894	11	1.038000	1.120000	1.190000	1.112000
lola_SANGER_5_FBgn0005630	13.081704	1.868815	7	1.114000	1.102000	1.142000	1.128000
lola_SOLEXA_5_FBgn0005630	12.807080	1.423009	9	1.102000	1.097000	1.157000	1.105000
lola-PJ_SANGER_5_FBgn0005630	12.606315	1.800902	7	1.135000	1.094000	1.131000	1.089000
lola-PJ_SOLEXA_FBgn0005630	12.522590	0.834839	15	1.124000	1.177000	1.184000	1.167000
lola-PW_SANGER_5_FBgn0005630	11.061044	1.580149	7	1.087000	1.113000	0.946000	1.114000
lola-PW_SOLEXA_FBgn0005630	11.062425	1.106242	10	1.067000	1.048000	1.044000	1.061000
lola-PA_SANGER_5_FBgn0005630	9.863010	1.409001	7	0.948000	0.942000	0.969000	0.941000
lola-PA_SOLEXA_FBgn0005630	8.311613	0.554108	15	0.913000	0.905000	0.947000	0.905000
lola-PC_SANGER_5_FBgn0005630	12.975168	1.441685	9	1.060000	0.920000	1.026000	0.931000
lola-PC_SOLEXA_FBgn0005630	10.368093	0.942554	11	1.077000	0.995000	0.951000	0.983000
lola-PU_SANGER_5_FBgn0005630	11.950478	1.327831	9	1.072000	1.021000	1.020000	1.044000
lola-PU_SOLEXA_FBgn0005630	11.427211	0.879016	13	1.045000	1.014000	0.948000	1.059000
lola-PD_SANGER_5_FBgn0005630	12.396310	1.377368	9	0.970000	0.993000	0.936000	1.043000
lola-PD_SOLEXA_FBgn0005630	11.016819	0.734455	15	0.992000	0.902000	0.957000	0.966000
lola-PY_SANGER_2.5_FBgn0005630	10.632368	1.181374	9	0.934000	0.900000	0.967000	0.898000
lola-PY_SOLEXA_FBgn0005630	10.276153	0.685077	15	0.962000	0.924000	1.187000	0.922000
lola-PQ_SANGER_5_FBgn0005630	10.751478	1.194609	9	1.021000	0.973000	1.147000	0.980000
lola-PQ_SOLEXA_FBgn0005630	11.169476	0.744632	15	0.970000	0.951000	1.023000	0.933000
lola-PL_SANGER_2.5_FBgn0005630	12.467640	1.385293	9	0.989000	0.965000	0.966000	0.981000
lola-PL_SOLEXA_FBgn0005630	10.233839	0.730988	14	0.943000	0.922000	0.921000	0.932000
lola-PG_SANGER_2.5_FBgn0005630	11.142530	1.591790	7	1.068000	1.020000	1.189000	1.008000
lola-PG_SOLEXA_FBgn0005630	10.647489	0.967954	11	1.090000	1.139000	0.996000	1.157000
lola-PF_SANGER_5_FBgn0005630	13.787362	1.378736	10	1.032000	1.026000	1.186000	0.986000
lola-PF_SOLEXA_FBgn0005630	13.054107	0.870274	15	0.977000	0.972000	1.100000	0.922000
