Motif	ENCFF742LVH	ENCFF603JQT	ENCFF275OIZ	ENCFF624NYK	ENCFF048PDV	Average
lola-PD_SANGER_5_FBgn0005630	1.0	1.0	1.0	1.0	1.0	1.0
lola-PO_SOLEXA_FBgn0005630	1.0	1.0	1.0	1.0	1.0	1.0
lola-PF_SANGER_5_FBgn0005630	1.0	1.0	1.0	1.0	1.0	1.0
lola-PC_SOLEXA_FBgn0005630	1.0	1.0	1.0	1.0	1.0	1.0
lola-PT_SOLEXA_FBgn0005630	1.0	1.0	1.0	1.0	1.0	1.0
lola-PL_SANGER_2.5_FBgn0005630	1.0	1.0	1.0	1.0	1.0	1.0
lola-PL_SOLEXA_FBgn0005630	1.0	1.0	1.0	1.0	1.0	1.0
lola-PJ_SOLEXA_FBgn0005630	1.0	1.0	1.0	1.0	1.0	1.0
lola-PU_SOLEXA_FBgn0005630	1.0	1.0	1.0	1.0	1.0	1.0
M06092_2.00	1.0	1.0	1.0	1.0	1.0	1.0
M06093_2.00	1.0	1.0	1.0	1.0	1.0	1.0
M06094_2.00	1.0	1.0	1.0	1.0	1.0	1.0
M06096_2.00	1.0	1.0	1.0	1.0	1.0	1.0
M06097_2.00	1.0	1.0	1.0	1.0	1.0	1.0
M06100_2.00	1.0	1.0	1.0	1.0	1.0	1.0
M06101_2.00	1.0	1.0	1.0	1.0	1.0	1.0
M06102_2.00	1.0	1.0	1.0	1.0	1.0	1.0
lola_PK_SANGER_5_FBgn0005630	1.0	1.0	1.0	1.0	1.0	1.0
M06098_2.00	0.99	1.0	1.0	1.0	1.0	0.998
lola-PQ_SANGER_5_FBgn0005630	0.95	1.0	1.0	1.0	1.0	0.99
lola-PY_SANGER_2.5_FBgn0005630	1.0	1.0	1.0	0.92	1.0	0.984
lola-PQ_SOLEXA_FBgn0005630	1.0	1.0	0.91	1.0	1.0	0.982
M06095_2.00	0.69	1.0	1.0	1.0	1.0	0.938
M06104_2.00	0.68	1.0	1.0	0.99	1.0	0.9339999999999999
M06106_2.00	0.3	1.0	1.0	1.0	1.0	0.86
lola-PG_SOLEXA_FBgn0005630	0.23	1.0	1.0	1.0	1.0	0.8460000000000001
M06105_2.00	0.16	1.0	1.0	1.0	1.0	0.8320000000000001
M06099_2.00	0.12	1.0	1.0	1.0	1.0	0.8240000000000001
lola-PO_SANGER_5_FBgn0005630	0.073	1.0	1.0	1.0	1.0	0.8146000000000001
lola-PF_SOLEXA_FBgn0005630	0.015	1.0	1.0	1.0	1.0	0.8029999999999999
lola-PW_SANGER_5_FBgn0005630	0.0073	1.0	1.0	1.0	1.0	0.80146
lola-PG_SANGER_2.5_FBgn0005630	1.0	0	1.0	1.0	1.0	0.8
lola-PJ_SANGER_5_FBgn0005630	1.0	0	1.0	1.0	1.0	0.8
lola-PY_SOLEXA_FBgn0005630	1.0	0	1.0	1.0	1.0	0.8
lola-PU_SANGER_5_FBgn0005630	1.0	0	1.0	1.0	1.0	0.8
lola-PK_SOLEXA_FBgn0005630	1.0	0	1.0	1.0	0.97	0.7939999999999999
lola-PT_SANGER_5_FBgn0005630	0.96	0	1.0	1.0	1.0	0.792
lola-PC_SANGER_5_FBgn0005630	0.95	0	1.0	1.0	1.0	0.79
lola-PD_SOLEXA_FBgn0005630	1.0	0	0.94	1.0	1.0	0.788
M06103_2.00	0.014	0.89	1.0	1.0	1.0	0.7807999999999999
M06091_2.00	0.0085	1.0	1.0	1.0	0.56	0.7137
lola-PA_SOLEXA_FBgn0005630	0.54	0	0.64	1.0	1.0	0.636
lola_SOLEXA_5_FBgn0005630	0.18	0	1.0	1.0	1.0	0.6359999999999999
lola_SANGER_5_FBgn0005630	0.084	0	1.0	1.0	1.0	0.6168
lola-PA_SANGER_5_FBgn0005630	0.0061	0	1.0	1.0	1.0	0.60122
lola-PW_SOLEXA_FBgn0005630	1.5e-06	0	1.0	1.0	1.0	0.6000002999999999
