Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
4991_usp_DrosophilaTF	8	6	3.95e-01	0.404	0.547	0.563	1.33	0.0000
M02709_2.00	9	6	3.02e-01	0.519	0.561	0.568	1.50	0.0000
M03934_2.00	5	6	7.27e-01	0.139	0.462	0.473	0.83	0.0000
M06426_2.00	12	6	1.17e-01	0.932	0.510	0.522	2.00	0.0000
M09689_2.00	9	6	3.02e-01	0.519	0.561	0.554	1.50	0.0000
M11191_2.00	20	6	4.29e-03	2.368	0.539	0.555	3.33	0.0000
M11192_2.00	8	6	3.95e-01	0.404	0.547	0.563	1.33	0.0000
usp_SANGER_5_FBgn0003964	12	6	1.17e-01	0.932	0.510	0.522	2.00	0.0000
Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
4991_usp_DrosophilaTF	0	9	1.00e+00	-0.000	0.394	0.437	0.00	0.0000
M02709_2.00	0	9	1.00e+00	-0.000	0.346	0.421	0.00	0.0000
M03934_2.00	1	1	7.54e-01	0.123	0.317	0.456	1.00	0.0294
M06426_2.00	12	9	3.00e-01	0.523	0.602	0.704	1.33	0.3529
M09689_2.00	0	5	1.00e+00	-0.000	0.354	0.433	0.00	0.0000
M11191_2.00	0	0	1.00e+00	-0.000	0.521	0.511	inf	0.0000
M11192_2.00	0	9	1.00e+00	-0.000	0.394	0.436	0.00	0.0000
usp_SANGER_5_FBgn0003964	12	9	3.00e-01	0.523	0.602	0.704	1.33	0.3529
Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
4991_usp_DrosophilaTF	1	1	7.53e-01	0.123	0.489	0.530	1.00	0.0204
M02709_2.00	1	1	7.53e-01	0.123	0.506	0.525	1.00	0.0204
M03934_2.00	4	1	1.81e-01	0.742	0.464	0.535	4.00	0.0816
M06426_2.00	1	1	7.53e-01	0.123	0.440	0.479	1.00	0.0204
M09689_2.00	0	1	1.00e+00	-0.000	0.451	0.473	0.00	0.0000
M11191_2.00	1	1	7.53e-01	0.123	0.426	0.478	1.00	0.0204
M11192_2.00	1	1	7.53e-01	0.123	0.486	0.529	1.00	0.0204
usp_SANGER_5_FBgn0003964	1	1	7.53e-01	0.123	0.440	0.479	1.00	0.0204
Motif	# matches	# matches background	P-value	log10 P-value	ROC AUC	PR AUC	Enr. at 1% FPR	Recall at 10% FDR
4991_usp_DrosophilaTF	7	7	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
M02709_2.00	7	7	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
M03934_2.00	7	7	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
M06426_2.00	0	7	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M09689_2.00	7	7	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
M11191_2.00	0	7	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
M11192_2.00	7	7	1.00e+00	-0.000	1.000	1.000	1.00	1.0000
usp_SANGER_5_FBgn0003964	0	7	1.00e+00	-0.000	0.000	0.500	0.00	0.0000
