"ARID-TF";"A-T RICH INTERACTION DOMAIN TRANSCRIPTION FACTORS"
"BHLH";"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTORS"
"BZIP";"BASIC LEUCINE ZIPPER TRANSCRIPTION FACTORS"
"ZF-C2H2";"C2H2 ZINC FINGER TRANSCRIPTION FACTORS"
"CBFTF";"CBF DOMAIN TRANSCRIPTION FACTORS"
"CUT";"CUT HOMEOBOX TRANSCRIPTION FACTORS"
"DMRT";"DMRT TRANSCRIPTION FACTORS"
"E2FTF";"E2F TRANSCRIPTION FACTORS"
"ETSTF";"ETS DOMAIN TRANSCRIPTION FACTORS"
"FOX";"FORK HEAD BOX TRANSCRIPTION FACTORS"
"GATA";"GATA TRANSCRIPTION FACTORS"
"GCM";"GLIAL CELL MISSING TRANSCRIPTION FACTORS"
"HMGBTF";"HIGH MOBILITY GROUP BOX TRANSCRIPTION FACTORS"
"HOXL";"HOX-LIKE HOMEOBOX TRANSCRIPTION FACTORS"
"LIM";"LIM HOMEOBOX TRANSCRIPTION FACTORS"
"MADF-BESS-TF";"MADF-BESS DOMAIN TRANSCRIPTION FACTORS"
"MHTF";"MAD HOMOLOGY DOMAIN TRANSCRIPTION FACTORS"
"MADSTF";"MADS-BOX TRANSCRIPTION FACTORS"
"NKL";"NK-LIKE HOMEOBOX TRANSCRIPTION FACTORS"
"NF-KB";"NUCLEAR FACTOR - KAPPA B"
"NFAT";"NUCLEAR FACTOR OF ACTIVATED T-CELLS TRANSCRIPTION FACTORS"
"NR";"NUCLEAR RECEPTOR (LIGAND-DEPENDENT) TRANSCRIPTION FACTORS"
"NR0";"NUCLEAR RECEPTOR SUBFAMILY 0 (LIGAND-INDEPENDENT) TRANSCRIPTION FACTORS"
"ODBDTF";"OTHER DNA BINDING DOMAIN TRANSCRIPTION FACTORS"
"PRD";"PAIRED DOMAIN TRANSCRIPTION FACTORS"
"PRDH";"PAIRED HOMEOBOX TRANSCRIPTION FACTORS"
"PRDL";"PAIRED-LIKE HOMEOBOX TRANSCRIPTION FACTORS"
"PSQ";"PIPSQUEAK TRANSCRIPTION FACTORS"
"POU";"POU HOMEOBOX TRANSCRIPTION FACTORS"
"PROS";"PROSPERO HOMEOBOX TRANSCRIPTION FACTORS"
"RUNT";"RUNT DOMAIN TRANSCRIPTION FACTORS"
"SANT-MYB-TF";"SANT-MYB DOMAIN TRANSCRIPTION FACTORS"
"SIX";"SINE OCULIS HOMEOBOX TRANSCRIPTION FACTORS"
"TALE";"TALE HOMEOBOX TRANSCRIPTION FACTORS"
"TBX";"T-BOX TRANSCRIPTION FACTORS"
"TEATF";"TEA DOMAIN TRANSCRIPTION FACTORS"
"THAPTF";"THAP DOMAIN TRANSCRIPTION FACTORS"
"ZFH";"ZINC FINGER HOMEOBOX TRANSCRIPTION FACTORS"
"0";"Uncharacterized"
"0.1";"AXUD/CSRNP domain factors"
"0.2";"NonO domain factors"
"0.3";"Leucine-rich repeat flightless-interacting pr"
"0.4";"NFX1-type putative zinc finger factors"
"1.1";"Basic leucine zipper factors (bZIP)"
"1.2";"Basic helix-loop-helix factors (bHLH)"
"1.3";"Basic helix-span-helix factors (bHSH)"
"2.1";"Nuclear receptors with C4 zinc fingers"
"2.2";"Other C4 zinc finger-type factors"
"2.3";"C2H2 zinc finger factors"
"2.4";"C6 zinc cluster factors"
"2.5";"DM-type intertwined zinc finger factors"
"2.6";"CXXC zinc finger factors"
"2.7";"C2HC zinc finger factors"
"2.8";"C3H zinc finger factors"
"2.9";"C2CH THAP-type zinc finger factors"
"3.1";"Homeo domain factors"
"3.2";"Paired box factors"
"3.3";"Fork head / winged helix factors"
"3.4";"Heat shock factors"
"3.5";"Tryptophan cluster factors"
"3.6";"TEA domain factors"
"3.7";"ARID domain factors"
"4.1";"High-mobility group (HMG) domain factors"
"4.2";"Heteromeric CCAAT-binding factors"
"5.1";"MADS box factors"
"5.2";"E2-related factors"
"5.3";"SAND domain factors"
"6.1";"Rel homology region (RHR) factors"
"6.2";"STAT domain factors"
"6.3";"p53 domain factors"
"6.4";"Runt domain factors"
"6.5";"T-Box factors"
"6.6";"NDT80 domain factors"
"6.7";"Grainyhead domain factors"
"7.1";"SMAD/NF-1 DNA-binding domain factors"
"7.2";"GCM domain factors"
"8.1";"TATA-binding proteins"
"8.2";"A.T hook factors"
"9.1";"Cold-shock domain factors"
