1	17615|Bcd(SMILE-seq	Bcd	Smile-Seq	428
2	17629|Gsc(SMILE-seq	Gsc	Smile-Seq	566
3	17630|Gt(SMILE-seq	Gt	Smile-Seq	69
4	17670|Opa(SMILE-seq	Opa	Smile-Seq	301
5	17694|Sna(SMILE-seq	Sna	Smile-Seq	325
6	17697|Ttk(SMILE-seq	Ttk	Smile-Seq	343
7	4932|Abd-B(DrosophilaTF	Abd-B	Bergman's Lab	426
8	4933|Adf1(DrosophilaTF	Adf1	Bergman's Lab	449
9	4934|Aef1(DrosophilaTF	Aef1	Bergman's Lab	83
10	4935|Cf2(DrosophilaTF	Cf2	Bergman's Lab	95
11	4936|Dip3(DrosophilaTF	Dip3	Bergman's Lab	450
12	4937|Dref(DrosophilaTF	Dref	Bergman's Lab	256
13	4938|EcR/usp(DrosophilaTF	EcR/usp	Bergman's Lab	493::509
14	4939|Eip74EF(DrosophilaTF	Eip74EF	Bergman's Lab	368
15	4940|Hr46(DrosophilaTF	Hr46	Bergman's Lab	
16	4941|Kr(DrosophilaTF	Kr	Bergman's Lab	278
17	4942|Rel(DrosophilaTF	Rel	Bergman's Lab	490
18	4943|Stat92E(DrosophilaTF	Stat92E	Bergman's Lab	543
19	4944|Su(H)(DrosophilaTF	Su(H)	Bergman's Lab	545
20	4945|TFAM(DrosophilaTF	TFAM	Bergman's Lab	422
21	4946|Ubx(DrosophilaTF	Ubx	Bergman's Lab	439
22	4947|ap(DrosophilaTF	ap	Bergman's Lab	442
23	4948|bab1(DrosophilaTF	bab1	Bergman's Lab	579
24	4949|bcd(DrosophilaTF	bcd	Bergman's Lab	428
25	4950|bin(DrosophilaTF	bin	Bergman's Lab	375
26	4951|br-Z1(DrosophilaTF	br-Z1	Bergman's Lab	513
27	4952|br-Z2(DrosophilaTF	br-Z2	Bergman's Lab	513
28	4953|br-Z3(DrosophilaTF	br-Z3	Bergman's Lab	513
29	4954|br-Z4(DrosophilaTF	br-Z4	Bergman's Lab	513
30	4955|brk(DrosophilaTF	brk	Bergman's Lab	513
31	4956|byn(DrosophilaTF	byn	Bergman's Lab	618
32	4957|cad(DrosophilaTF	cad	Bergman's Lab	430
33	4958|croc(DrosophilaTF	croc	Bergman's Lab	379
34	4959|dif/Rel(DrosophilaTF	dif/Rel	Bergman's Lab	488/490
35	4960|dl-A(DrosophilaTF	dl-A	Bergman's Lab	489
36	4961|dl-B(DrosophilaTF	dl-B	Bergman's Lab	489
37	4962|dsx(DrosophilaTF	dsx	Bergman's Lab	363
38	4963|ems(DrosophilaTF	ems	Bergman's Lab	471
39	4964|en(DrosophilaTF	en	Bergman's Lab	472
40	4965|esg(DrosophilaTF	esg	Bergman's Lab	260
41	4966|eve(DrosophilaTF	eve	Bergman's Lab	432
42	4967|eyg(DrosophilaTF	eyg	Bergman's Lab	554
43	4968|ftz(DrosophilaTF	ftz	Bergman's Lab	433
44	4969|gcm(DrosophilaTF	gcm	Bergman's Lab	399
45	4970|grh(DrosophilaTF	grh	Bergman's Lab	530
46	4971|h(DrosophilaTF	h	Bergman's Lab	29
47	4972|hb(DrosophilaTF	hb	Bergman's Lab	267
48	4973|mirr(DrosophilaTF	mirr	Bergman's Lab	615
49	4974|oc(DrosophilaTF	oc	Bergman's Lab	568
50	4975|ovo(DrosophilaTF	ovo	Bergman's Lab	304
51	4976|pan(DrosophilaTF	pan	Bergman's Lab	412
52	4977|pho(DrosophilaTF	pho	Bergman's Lab	307
53	4978|pnr(DrosophilaTF	pnr	Bergman's Lab	397
54	4979|prd-HD(DrosophilaTF	prd-HD	Bergman's Lab	557
55	4980|prd-PD(DrosophilaTF	prd-PD	Bergman's Lab	557
56	4981|pros(DrosophilaTF	pros	Bergman's Lab	597
57	4982|retn(DrosophilaTF	retn	Bergman's Lab	1
58	4983|sd(DrosophilaTF	sd	Bergman's Lab	625
59	4984|shn-ZFP1(DrosophilaTF	shn-ZFP1	Bergman's Lab	324
60	4986|slbo(DrosophilaTF	slbo	Bergman's Lab	78
61	4987|sna(DrosophilaTF	sna	Bergman's Lab	325
62	4988|srp(DrosophilaTF	srp	Bergman's Lab	398
63	4989|tin(DrosophilaTF	tin	Bergman's Lab	485
64	4990|tll(DrosophilaTF	tll	Bergman's Lab	508
65	4991|usp(DrosophilaTF	usp	Bergman's Lab	509
66	4992|vnd(DrosophilaTF	vnd	Bergman's Lab	487
67	abd-A	abd-A	Daniel Pollard's Lab	425
68	Abd-B	Abd-B	Daniel Pollard's Lab	426
69	Adf1	Adf1	Daniel Pollard's Lab	449
70	Aef1	Aef1	Daniel Pollard's Lab	83
71	Antp	Antp	Daniel Pollard's Lab	427
72	ap	ap	Daniel Pollard's Lab	442
73	ara	ara	Daniel Pollard's Lab	610
74	bab1	bab1	Daniel Pollard's Lab	579
