356	ADNP	2.3.4.0.77	ENCODE
357	AEBP2	2.3.2.4.9	ENCODE
358	AFF1		ENCODE
359	AHR	1.2.5.1.1	ENCODE
360	ARHGAP35		ENCODE
361	ARID1B	3.7.1.1.2	ENCODE
362	ARID3A	3.7.1.3.1	ENCODE
363	ARID4B	3.7.1.4.2	ENCODE
364	ARNT	1.2.5.2.1	ENCODE
365	ATF1	1.1.7.1.2	ENCODE
366	ATF2	1.1.1.3.1	ENCODE
367	ATF3	1.1.2.2.1	ENCODE
368	ATF4	1.1.6.0.1	ENCODE
369	BACH1	1.1.1.2.5	ENCODE
370	BATF	1.1.4.0.1	ENCODE
371	BCL11A	2.3.4.15.1	ENCODE
372	BCL11B	2.3.4.15.2	ENCODE
373	BCL3	6.1.2.1.8	ENCODE::GGR
374	BCL6	2.3.3.22.2	ENCODE
375	BCL6B	2.3.3.22.1	ENCODE
376	BCLAF1		ENCODE
377	BHLHE40	1.2.4.1.12	ENCODE
378	BMI1		ENCODE
379	BRF2	2.3.3.0.75	ENCODE
380	CBFB	4.2.1.0.1	ENCODE
381	CBX1		ENCODE
382	CBX2		ENCODE
383	CC2D1A		ENCODE
384	CDC5L	3.5.1.1.4	ENCODE
385	CEBPA	1.1.8.1.1	ENCODE
386	CEBPB	1.1.8.1.2	ENCODE::GGR
387	CEBPG	1.1.8.1.3	ENCODE
388	CEBPZ	3.5.2.1.1	ENCODE
389	CHAMP1		ENCODE
390	CHD7		ENCODE
391	CLOCK	1.2.5.2.5	ENCODE
392	CREB1	1.1.7.1.1	ENCODE
393	CREB3	1.1.7.2.1	ENCODE
394	CREB3L1	1.1.7.2.2	ENCODE
395	CREM	1.1.7.1.3	ENCODE
396	CTCF	2.3.3.50.1	ENCODE::GGR
397	CTCFL	2.3.3.50.2	ENCODE
398	CUX1	3.1.9.2.1	ENCODE
399	DACH1		ENCODE
400	DEAF1	5.3.2.0.1	ENCODE
401	DRAP1		ENCODE
402	E2F1	3.3.2.1.1	ENCODE
403	E2F4	3.3.2.1.4	ENCODE
404	E2F5	3.3.2.1.5	ENCODE
405	E2F6	3.3.2.1.6	ENCODE
406	E2F7	3.3.2.1.7	ENCODE
407	E2F8	3.3.2.1.8	ENCODE
408	E4F1	2.3.4.0.74	ENCODE
409	EBF1	6.1.5.0.1	ENCODE
410	EGR1	2.3.1.3.1	ENCODE
411	EGR2	2.3.1.3.2	ENCODE
412	ELF1	3.5.2.3.1	ENCODE
413	ELF4	3.5.2.3.3	ENCODE
414	ELK1	3.5.2.2.1	ENCODE
415	ELK4	3.5.2.2.3	ENCODE
416	EP300		ENCODE::GGR
417	ESR1	2.1.1.2.1	ENCODE
418	ESRRA	2.1.1.2.3	ENCODE
419	ETS1	3.5.2.1.1	ENCODE
420	ETS2	3.5.2.1.2	ENCODE
421	ETV1	3.5.2.2.4	ENCODE
422	ETV4	3.5.2.2.5	ENCODE
423	ETV5	3.5.2.2.6	ENCODE
424	ETV6	3.5.2.6.1	ENCODE
425	FEZF1	2.3.3.20.1	ENCODE
426	FOS	1.1.2.1.1	ENCODE
427	FOSL1	1.1.2.1.3	ENCODE
428	FOSL2	1.1.2.1.4	ENCODE::GGR
429	FOXA1	3.3.1.1.1	ENCODE
430	FOXA2	3.3.1.1.2	ENCODE
431	FOXA3	3.3.1.1.3	ENCODE
432	FOXJ2	3.3.1.10.2	ENCODE
433	FOXK2	3.3.1.11.2	ENCODE
434	FOXP2	3.3.1.16.2	ENCODE
435	GABPA	3.5.2.1.4	ENCODE
436	GABPB1		ENCODE
437	GATA1	2.2.1.1.1	ENCODE
438	GATA2	2.2.1.1.2	ENCODE
439	GATA3	2.2.1.1.3	ENCODE
440	GATA4	2.2.1.1.4	ENCODE
441	GATAD2B	2.2.1.2.3	ENCODE
442	GFI1B	2.3.3.21.2	ENCODE
443	GLI2	2.3.3.1.2	ENCODE
