2296	Ci	Ci	Hallikas	4.1.1.9.1
2297	GLI1	GLI1	Hallikas	2.3.3.1.1
2298	GLI2	GLI2	Hallikas	2.3.3.1.2
2299	GLI3	GLI3	Hallikas	2.3.3.1.3
2300	Tcf4	Tcf4	Hallikas	1.2.1.0.2
2301	cETS1	cETS1	Hallikas	3.5.2.1.1
2302	CMYC	CMYC	Chen2008	1.2.6.5.1
2303	CTCF	CTCF	Chen2008	2.3.3.50.1
2304	ESRRB	ESRRB	Chen2008	2.1.1.2.4
2305	KLF4	KLF4	Chen2008	2.3.1.2.4
2306	NANOG	NANOG	Chen2008	3.1.2.12.1
2307	NMYC	NMYC	Chen2008	1.2.6.5.2
2308	OCT4	OCT4	Chen2008	3.1.10.5.1
2309	SMAD1	SMAD1	Chen2008	7.1.1.1.1
2310	SOX2	SOX2	Chen2008	4.1.1.2.2
2311	STAT3	STAT3	Chen2008	6.2.1.0.3
2312	TCFCP2L1	TCFCP2L1	Chen2008	6.7.2.0.2
2313	ZFX	ZFX	Chen2008	2.3.3.65.1
2314	ENMUST00000052030,2_3793,1_primary_PWM	ENMUST00000052030	Wei-mouse	
2315	ENMUST00000061151,4_3525,1_primary_PWM	ENMUST00000061151	Wei-mouse	
2316	m-EHF	EHF	Wei-mouse	3.5.2.4.1
2317	m-ELF2	ELF2	Wei-mouse	3.5.2.3.2
2318	m-ELF3	ELF3	Wei-mouse	3.5.2.4.2
2319	m-ELF4	ELF4	Wei-mouse	3.5.2.3.3
2320	m-ELF5	ELF5	Wei-mouse	3.5.2.4.3
2321	m-ERG	ERG	Wei-mouse	3.5.2.1.6
2322	m-ETS1	ETS1	Wei-mouse	3.5.2.1.1
2323	m-ETV1	ETV1	Wei-mouse	3.5.2.2.4
2324	m-ETV3	ETV3	Wei-mouse	3.5.2.1.8
2325	m-ETV4	ETV4	Wei-mouse	3.5.2.2.5
2326	m-ETV5	ETV5	Wei-mouse	3.5.2.2.6
2327	m-ETV6	ETV6	Wei-mouse	3.5.2.6.1
2328	m-Elk1	Elk1	Wei-mouse	3.5.2.2.1
2329	m-Elk3	Elk3	Wei-mouse	3.5.2.2.2
2330	m-Elk4	Elk4	Wei-mouse	3.5.2.2.3
2331	m-Fli1	Fli1	Wei-mouse	3.5.2.1.5
2332	m-GABPA	GABPA	Wei-mouse	3.5.2.1.4
2333	m-SFPI1	SFPI1	Wei-mouse	3.5.2.5.1
2334	m-SPDEF	SPDEF	Wei-mouse	3.5.2.7.1
2335	m-SPIC	SPIC	Wei-mouse	3.5.2.5.3
2336	m-EHF	EHF	Wei-mouse	3.5.2.4.1
2337	m-ELF1	ELF1	Wei-mouse	3.5.2.3.1
2338	m-ELF2	ELF2	Wei-mouse	3.5.2.3.2
2339	m-ELF3	ELF3	Wei-mouse	3.5.2.4.2
2340	m-ELF4	ELF4	Wei-mouse	3.5.2.3.3
2341	m-ELF5	ELF5	Wei-mouse	3.5.2.4.3
