"1"	"Alx3"	"3.1.3.1.2"
"2"	"Alx4"	"3.1.3.1.3"
"3"	"Arid3a"	"3.7.1.3.1"
"4"	"Arid5a"	"3.7.1.5.1"
"5"	"Arx"	"3.1.3.3.1"
"6"	"Ascl2"	"1.2.2.2.2"
"7"	"Atf1"	"1.1.7.1.2"
"8"	"Bapx1"	"3.1.2.16.2"
"9"	"Barhl1"	"3.1.2.1.1"
"10"	"Barhl2"	"3.1.2.1.2"
"11"	"Barx1"	"3.1.2.2.1"
"12"	"Barx2"	"3.1.2.2.2"
"13"	"Bbx"	"4.1.1.9.3"
"14"	"Bcl6b"	"2.3.3.22.1"
"15"	"Bhlhb2"	"1.2.4.1.12"
"16"	"Bsx"	"3.1.2.3.1"
"17"	"Cart1"	"3.1.3.1.1"
"18"	"Cdx1"	"3.1.1.9.1"
"19"	"Cdx2"	"3.1.1.9.2"
"20"	"Cphx"	""
"21"	"Crx"	"3.1.3.17.3"
"22"	"Cutl1"	"3.1.9.2.1"
"23"	"Dbx1"	"3.1.2.4.1"
"24"	"Dbx2"	"3.1.2.4.2"
"25"	"Dlx1"	"3.1.2.5.1"
"26"	"Dlx2"	"3.1.2.5.2"
"27"	"Dlx3"	"3.1.2.5.3"
"28"	"Dlx4"	"3.1.2.5.4"
"29"	"Dlx5"	"3.1.2.5.5"
"30"	"Dmbx1"	"3.1.3.4.1"
"31"	"Dobox4"	""
"32"	"Dobox5"	""
"33"	"Duxl"	""
"34"	"E2F2"	"3.3.2.1.2"
"35"	"E2F3"	"3.3.2.1.3"
"36"	"Egr1"	"2.3.1.3.1"
"37"	"Ehf"	"3.5.2.4.1"
"38"	"Elf2"	"3.5.2.3.2"
"39"	"Elf3"	"3.5.2.4.2"
"40"	"Elf4"	"3.5.2.3.3"
"41"	"Elf5"	"3.5.2.4.3"
"42"	"Elk1"	"3.5.2.2.1"
"43"	"Elk3"	"3.5.2.2.2"
"44"	"Elk4"	"3.5.2.2.3"
"45"	"Emx2"	"3.1.2.6.2"
"46"	"En1"	"3.1.2.7.1"
"47"	"En2"	"3.1.2.7.2"
"48"	"Eomes"	"6.5.2.0.2"
"49"	"Erg"	"3.5.2.1.6"
"50"	"Esrra"	"2.1.1.2.3"
"51"	"Esx1"	"3.1.3.8.1"
"52"	"Ets1"	"3.5.2.1.1"
