File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF206RCJ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR989SYT	ChIP-seq	EFO:0005819	Kc167	cell line	Drosophila melanogaster										insv-dmelanogaster	DNA					False	2018-03-13	modENCODE				1, 2, 3							ENCFF127DIC, ENCFF370YYS, ENCFF520MNH, ENCFF551LEG	4654	Kevin White, UChicago	85dc916d1297b0d925301901735e7c0c		https://www.encodeproject.org/files/ENCFF206RCJ/@@download/ENCFF206RCJ.bed.gz	dm3				released	s3://encode-public/2017/12/11/cb38663e-366c-402a-a720-f648a10ae4ff/ENCFF206RCJ.bed.gz				
ENCFF241DGX	bed narrowPeak	peaks and background as input for IDR	ENCSR989SYT	ChIP-seq	EFO:0005819	Kc167	cell line	Drosophila melanogaster										insv-dmelanogaster	DNA					False	2018-03-13	modENCODE				1, 2, 3							ENCFF266TYE, ENCFF360RSD, ENCFF388UEJ, ENCFF830TEZ	790152	Kevin White, UChicago	031787efa022e37c4c0e1e4ba4da1c2d		https://www.encodeproject.org/files/ENCFF241DGX/@@download/ENCFF241DGX.bed.gz	dm6				released	s3://encode-public/2017/12/11/979aa8b5-5651-44f2-a7d5-19fb240d64d5/ENCFF241DGX.bed.gz				
ENCFF810CTR	bed narrowPeak	peaks and background as input for IDR	ENCSR989SYT	ChIP-seq	EFO:0005819	Kc167	cell line	Drosophila melanogaster										insv-dmelanogaster	DNA					False	2018-03-13	modENCODE				3							ENCFF360RSD, ENCFF388UEJ	772764	Kevin White, UChicago	4ad984fd0773adb5debb312ba24b6040		https://www.encodeproject.org/files/ENCFF810CTR/@@download/ENCFF810CTR.bed.gz	dm6				released	s3://encode-public/2017/12/11/7f1353d8-fbcf-4867-bb6c-9a58bfc8c1d8/ENCFF810CTR.bed.gz				
ENCFF551LEG	bed narrowPeak	peaks and background as input for IDR	ENCSR989SYT	ChIP-seq	EFO:0005819	Kc167	cell line	Drosophila melanogaster										insv-dmelanogaster	DNA					False	2018-03-13	modENCODE				1							ENCFF406IIW, ENCFF629EWI	783051	Kevin White, UChicago	7b9bb3ea891b15d6abc08613ce0dae01		https://www.encodeproject.org/files/ENCFF551LEG/@@download/ENCFF551LEG.bed.gz	dm3				released	s3://encode-public/2017/12/11/f1c1cdb6-a01a-4b8d-b2af-70f72304cf4b/ENCFF551LEG.bed.gz				
ENCFF370YYS	bed narrowPeak	peaks and background as input for IDR	ENCSR989SYT	ChIP-seq	EFO:0005819	Kc167	cell line	Drosophila melanogaster										insv-dmelanogaster	DNA					False	2018-03-13	modENCODE				2							ENCFF307SOU, ENCFF629EWI	785665	Kevin White, UChicago	47084aff98794623d7f8a95fd61ed4a4		https://www.encodeproject.org/files/ENCFF370YYS/@@download/ENCFF370YYS.bed.gz	dm3				released	s3://encode-public/2017/12/11/0698a22f-f99c-4b5f-90de-ed0d1c08dfa0/ENCFF370YYS.bed.gz				
ENCFF127DIC	bed narrowPeak	peaks and background as input for IDR	ENCSR989SYT	ChIP-seq	EFO:0005819	Kc167	cell line	Drosophila melanogaster										insv-dmelanogaster	DNA					False	2018-03-13	modENCODE				3							ENCFF248YAF, ENCFF629EWI	774085	Kevin White, UChicago	582996eaf3b543fc2909c807a165d339		https://www.encodeproject.org/files/ENCFF127DIC/@@download/ENCFF127DIC.bed.gz	dm3				released	s3://encode-public/2017/12/11/a0fa5176-b648-4348-a0c6-02e12355d291/ENCFF127DIC.bed.gz				
ENCFF520MNH	bed narrowPeak	peaks and background as input for IDR	ENCSR989SYT	ChIP-seq	EFO:0005819	Kc167	cell line	Drosophila melanogaster										insv-dmelanogaster	DNA					False	2018-03-13	modENCODE				1, 2, 3							ENCFF248YAF, ENCFF307SOU, ENCFF406IIW, ENCFF629EWI	790455	Kevin White, UChicago	5d757c9344b82c30bdc38756a6ca7616		https://www.encodeproject.org/files/ENCFF520MNH/@@download/ENCFF520MNH.bed.gz	dm3				released	s3://encode-public/2017/12/11/7b3e1294-c242-41ac-b09e-9dd62c993759/ENCFF520MNH.bed.gz				
ENCFF433GVQ	bed narrowPeak	peaks and background as input for IDR	ENCSR989SYT	ChIP-seq	EFO:0005819	Kc167	cell line	Drosophila melanogaster										insv-dmelanogaster	DNA					False	2018-03-13	modENCODE				1							ENCFF360RSD, ENCFF830TEZ	780995	Kevin White, UChicago	7a734b8abdbe3404c91c975cc26ce568		https://www.encodeproject.org/files/ENCFF433GVQ/@@download/ENCFF433GVQ.bed.gz	dm6				released	s3://encode-public/2017/12/11/1750f62b-818f-4258-8c88-c3041d0ec2cc/ENCFF433GVQ.bed.gz				
ENCFF333SDF	bed narrowPeak	peaks and background as input for IDR	ENCSR989SYT	ChIP-seq	EFO:0005819	Kc167	cell line	Drosophila melanogaster										insv-dmelanogaster	DNA					False	2018-03-13	modENCODE				2							ENCFF266TYE, ENCFF360RSD	785179	Kevin White, UChicago	b33dcec1396ae57a74f8b17da1c2e5d7		https://www.encodeproject.org/files/ENCFF333SDF/@@download/ENCFF333SDF.bed.gz	dm6				released	s3://encode-public/2017/12/11/af64c58c-ea75-4fed-b790-23f1117a0460/ENCFF333SDF.bed.gz				
ENCFF068HKK	bed narrowPeak	optimal IDR thresholded peaks	ENCSR989SYT	ChIP-seq	EFO:0005819	Kc167	cell line	Drosophila melanogaster										insv-dmelanogaster	DNA					False	2018-03-13	modENCODE				1, 2, 3							ENCFF241DGX, ENCFF333SDF, ENCFF433GVQ, ENCFF810CTR	3026	Kevin White, UChicago	1bfe726821e828e01a29c84c7f1eb09d		https://www.encodeproject.org/files/ENCFF068HKK/@@download/ENCFF068HKK.bed.gz	dm6				released	s3://encode-public/2017/12/11/19cbedff-93d4-42b4-8cbc-094fdc59c202/ENCFF068HKK.bed.gz				
