File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF656LIA	bed narrowPeak	peaks and background as input for IDR	ENCSR870BBY	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/fd59A-dmelanogaster/				fd59A-dmelanogaster	DNA					False	2017-11-22	modERN				2, 3							ENCFF011OVY, ENCFF332UUH, ENCFF649NAR	652369	Kevin White, UChicago	dd57d384a7c82463d69f43d9f3964cd1		https://www.encodeproject.org/files/ENCFF656LIA/@@download/ENCFF656LIA.bed.gz	dm3				released	s3://encode-public/2017/09/18/0e9c3448-abf0-40f7-8f16-c3c1a3aa3377/ENCFF656LIA.bed.gz				
ENCFF876IYP	bed narrowPeak	peaks and background as input for IDR	ENCSR870BBY	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/fd59A-dmelanogaster/				fd59A-dmelanogaster	DNA					False	2017-11-22	modERN				2	1						ENCFF011OVY, ENCFF649NAR	597871	Kevin White, UChicago	55644da3f41520b2b6e4d6be3d4a46d0		https://www.encodeproject.org/files/ENCFF876IYP/@@download/ENCFF876IYP.bed.gz	dm3				released	s3://encode-public/2017/09/18/4e4874bb-3c3f-49d3-89ff-f18df9d4b19e/ENCFF876IYP.bed.gz				
ENCFF184PLU	bed narrowPeak	peaks and background as input for IDR	ENCSR870BBY	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/fd59A-dmelanogaster/				fd59A-dmelanogaster	DNA					False	2017-11-22	modERN				3	1						ENCFF332UUH, ENCFF649NAR	760256	Kevin White, UChicago	d9f0e57e98bf30356086fa10efbab93c		https://www.encodeproject.org/files/ENCFF184PLU/@@download/ENCFF184PLU.bed.gz	dm3				released	s3://encode-public/2017/09/18/56d51e50-5992-4039-a80c-e0d022b06a1c/ENCFF184PLU.bed.gz				
ENCFF882FUQ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR870BBY	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/fd59A-dmelanogaster/				fd59A-dmelanogaster	DNA					False	2017-11-22	modERN				2, 3							ENCFF184PLU, ENCFF656LIA, ENCFF876IYP	105440	Kevin White, UChicago	4ba59008e37cc8c6afacc15e69ab4679		https://www.encodeproject.org/files/ENCFF882FUQ/@@download/ENCFF882FUQ.bed.gz	dm3				released	s3://encode-public/2017/09/18/e5ee513e-4033-4e18-82ab-eb64a1418118/ENCFF882FUQ.bed.gz				
ENCFF033IAT	bed narrowPeak	peaks and background as input for IDR	ENCSR870BBY	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/fd59A-dmelanogaster/				fd59A-dmelanogaster	DNA					False	2017-11-22	modERN				2	1						ENCFF044FIE, ENCFF388FJK	727824	Kevin White, UChicago	6e82f98bab551b77e84fdf04ee27ba12		https://www.encodeproject.org/files/ENCFF033IAT/@@download/ENCFF033IAT.bed.gz	dm6				released	s3://encode-public/2017/09/18/dc4ba05e-9376-47c3-abc6-b95929788dcc/ENCFF033IAT.bed.gz				
ENCFF841XZR	bed narrowPeak	peaks and background as input for IDR	ENCSR870BBY	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/fd59A-dmelanogaster/				fd59A-dmelanogaster	DNA					False	2017-11-22	modERN				2, 3							ENCFF044FIE, ENCFF388FJK, ENCFF639GRX	754481	Kevin White, UChicago	2038e4b4bf0f1bd3025c5645f98f0ab1		https://www.encodeproject.org/files/ENCFF841XZR/@@download/ENCFF841XZR.bed.gz	dm6				released	s3://encode-public/2017/09/18/5497ea16-24c7-431a-bbb3-33515bf25e99/ENCFF841XZR.bed.gz				
ENCFF625QNF	bed narrowPeak	peaks and background as input for IDR	ENCSR870BBY	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/fd59A-dmelanogaster/				fd59A-dmelanogaster	DNA					False	2017-11-22	modERN				3	1						ENCFF388FJK, ENCFF639GRX	755944	Kevin White, UChicago	9c89fbbd1e9663d62efef1464bcf7c98		https://www.encodeproject.org/files/ENCFF625QNF/@@download/ENCFF625QNF.bed.gz	dm6				released	s3://encode-public/2017/09/18/410958e9-a977-4bf1-8437-5ffe4a39ea7f/ENCFF625QNF.bed.gz				
ENCFF161YYL	bed narrowPeak	optimal IDR thresholded peaks	ENCSR870BBY	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/fd59A-dmelanogaster/				fd59A-dmelanogaster	DNA					False	2017-11-22	modERN				2, 3							ENCFF033IAT, ENCFF625QNF, ENCFF841XZR	112734	Kevin White, UChicago	7d60b3674bf7af7aee04702cd9a6aae5		https://www.encodeproject.org/files/ENCFF161YYL/@@download/ENCFF161YYL.bed.gz	dm6				released	s3://encode-public/2017/09/18/11d9ac03-feb0-4ded-834f-bd4b80b962af/ENCFF161YYL.bed.gz				
ENCFF844JWW	bed narrowPeak	peaks and background as input for IDR	ENCSR846PTH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG16779-dmelanogaster/				CG16779-dmelanogaster	DNA					False	2017-01-11	modERN				3							ENCFF022ZTT, ENCFF915WNF	786512	Kevin White, UChicago	62b0de293bc0c526b895a144c3f59274		https://www.encodeproject.org/files/ENCFF844JWW/@@download/ENCFF844JWW.bed.gz	dm3				released	s3://encode-public/2017/01/04/fc9eb00f-e985-4119-9eec-a021a8944147/ENCFF844JWW.bed.gz				
ENCFF829TVA	bed narrowPeak	peaks and background as input for IDR	ENCSR846PTH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG16779-dmelanogaster/				CG16779-dmelanogaster	DNA					False	2017-01-11	modERN				1, 2, 3							ENCFF022ZTT, ENCFF479GEX, ENCFF858CLI, ENCFF915WNF	791002	Kevin White, UChicago	66337e893d6c474c987142e7cc32d5f8		https://www.encodeproject.org/files/ENCFF829TVA/@@download/ENCFF829TVA.bed.gz	dm3				released	s3://encode-public/2017/01/04/d4ea8d59-244e-4de2-bc08-166b384f2183/ENCFF829TVA.bed.gz				
ENCFF526CTU	bed narrowPeak	peaks and background as input for IDR	ENCSR846PTH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG16779-dmelanogaster/				CG16779-dmelanogaster	DNA					False	2017-01-11	modERN				1							ENCFF858CLI, ENCFF915WNF	771775	Kevin White, UChicago	afb25bd3114fea405c3ff6cd5e373c67		https://www.encodeproject.org/files/ENCFF526CTU/@@download/ENCFF526CTU.bed.gz	dm3				released	s3://encode-public/2017/01/04/7c6de70d-8273-434c-bd7c-02030a8dcc94/ENCFF526CTU.bed.gz				
ENCFF507PQT	bed narrowPeak	peaks and background as input for IDR	ENCSR846PTH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG16779-dmelanogaster/				CG16779-dmelanogaster	DNA					False	2017-01-11	modERN				2							ENCFF479GEX, ENCFF915WNF	783504	Kevin White, UChicago	22256079e190cc1b95407b099661707a		https://www.encodeproject.org/files/ENCFF507PQT/@@download/ENCFF507PQT.bed.gz	dm3				released	s3://encode-public/2017/01/04/cbb60532-91b3-445c-9ece-dff378b394a9/ENCFF507PQT.bed.gz				
ENCFF758QMA	bed narrowPeak	peaks and background as input for IDR	ENCSR846PTH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG16779-dmelanogaster/				CG16779-dmelanogaster	DNA					False	2017-01-11	modERN				3							ENCFF034DXD, ENCFF705DHP	776815	Kevin White, UChicago	1be65812db36c35119b58844a1fa47c4		https://www.encodeproject.org/files/ENCFF758QMA/@@download/ENCFF758QMA.bed.gz	dm6				released	s3://encode-public/2017/01/04/70e0fcb6-a95c-4182-806b-92c7b6c7a312/ENCFF758QMA.bed.gz				
ENCFF490VMQ	bed narrowPeak	peaks and background as input for IDR	ENCSR846PTH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG16779-dmelanogaster/				CG16779-dmelanogaster	DNA					False	2017-01-11	modERN				2							ENCFF705DHP, ENCFF735DBK	758036	Kevin White, UChicago	4016492515e3929fbf81fcd02d487387		https://www.encodeproject.org/files/ENCFF490VMQ/@@download/ENCFF490VMQ.bed.gz	dm6				released	s3://encode-public/2017/01/04/32a8d939-b74f-4d32-99ee-274a38258c93/ENCFF490VMQ.bed.gz				
ENCFF265ZJS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR846PTH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG16779-dmelanogaster/				CG16779-dmelanogaster	DNA					False	2017-01-11	modERN				1, 2, 3							ENCFF507PQT, ENCFF526CTU, ENCFF829TVA, ENCFF844JWW	119878	Kevin White, UChicago	95f34a5e8c18250ab2476255c0ecacd2		https://www.encodeproject.org/files/ENCFF265ZJS/@@download/ENCFF265ZJS.bed.gz	dm3				released	s3://encode-public/2017/01/04/370937e2-22e6-4546-b569-b0490256e603/ENCFF265ZJS.bed.gz				
ENCFF846DFM	bed narrowPeak	peaks and background as input for IDR	ENCSR846PTH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG16779-dmelanogaster/				CG16779-dmelanogaster	DNA					False	2017-01-11	modERN				1							ENCFF705DHP, ENCFF826OEP	771003	Kevin White, UChicago	15a61bdc0ea3cc781a76e01944438940		https://www.encodeproject.org/files/ENCFF846DFM/@@download/ENCFF846DFM.bed.gz	dm6				released	s3://encode-public/2017/01/04/949ec5c1-e369-48d3-9781-3f637ae5e79f/ENCFF846DFM.bed.gz				
ENCFF849PZK	bed narrowPeak	peaks and background as input for IDR	ENCSR846PTH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG16779-dmelanogaster/				CG16779-dmelanogaster	DNA					False	2017-01-11	modERN				1, 2, 3							ENCFF034DXD, ENCFF705DHP, ENCFF735DBK, ENCFF826OEP	781593	Kevin White, UChicago	2721215c11c07a8b79054dcfbe541f34		https://www.encodeproject.org/files/ENCFF849PZK/@@download/ENCFF849PZK.bed.gz	dm6				released	s3://encode-public/2017/01/04/0811f45a-62c1-4ce1-a5fd-2739f29ccd46/ENCFF849PZK.bed.gz				
ENCFF789WVF	bed narrowPeak	optimal IDR thresholded peaks	ENCSR846PTH	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/CG16779-dmelanogaster/				CG16779-dmelanogaster	DNA					False	2017-01-11	modERN				1, 2, 3							ENCFF490VMQ, ENCFF758QMA, ENCFF846DFM, ENCFF849PZK	108445	Kevin White, UChicago	f145f90b073799f2c697dc53570b7d72		https://www.encodeproject.org/files/ENCFF789WVF/@@download/ENCFF789WVF.bed.gz	dm6				released	s3://encode-public/2017/10/13/9dc09fff-aade-4f3c-946a-06e6cf7724d1/ENCFF789WVF.bed.gz				
ENCFF597YJN	bed narrowPeak	peaks and background as input for IDR	ENCSR505XFU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/her-dmelanogaster/		dm3 2L 16669187 16688363		her-dmelanogaster	DNA					False	2016-07-06	modERN				2							ENCFF206YSR, ENCFF600GKX	752839	Kevin White, UChicago	e3f174b407305c52d1cc1f0da29003b4		https://www.encodeproject.org/files/ENCFF597YJN/@@download/ENCFF597YJN.bed.gz	dm3				released	s3://encode-public/2015/10/16/a506d69a-de06-4993-a00e-27ed747515c8/ENCFF597YJN.bed.gz				
ENCFF105DDI	bed narrowPeak	peaks and background as input for IDR	ENCSR505XFU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/her-dmelanogaster/		dm3 2L 16669187 16688363		her-dmelanogaster	DNA					False	2016-07-06	modERN				1							ENCFF206YSR, ENCFF249EQY	762552	Kevin White, UChicago	ff373c3a9e641302ffc0a6f3bf1fb2cd		https://www.encodeproject.org/files/ENCFF105DDI/@@download/ENCFF105DDI.bed.gz	dm3				released	s3://encode-public/2015/10/16/8ef7e677-0bab-4708-8b1e-48ecb9b492a0/ENCFF105DDI.bed.gz				
ENCFF946GAX	bed narrowPeak	peaks and background as input for IDR	ENCSR505XFU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/her-dmelanogaster/		dm3 2L 16669187 16688363		her-dmelanogaster	DNA					False	2016-07-06	modERN				1, 2							ENCFF206YSR, ENCFF249EQY, ENCFF600GKX	751355	Kevin White, UChicago	306ef0be231470d9d0d2feeff689f2d1		https://www.encodeproject.org/files/ENCFF946GAX/@@download/ENCFF946GAX.bed.gz	dm3				released	s3://encode-public/2015/10/16/b849251f-dbd8-4826-9bc4-c7497041493e/ENCFF946GAX.bed.gz				
ENCFF225POT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR505XFU	ChIP-seq	UBERON:0000468	whole organism	whole organisms	Drosophila melanogaster				site-specific recombination	insertion	/targets/her-dmelanogaster/		dm3 2L 16669187 16688363		her-dmelanogaster	DNA					False	2016-07-06	modERN				1, 2							ENCFF105DDI, ENCFF597YJN, ENCFF946GAX	85775	Kevin White, UChicago	3ec9f6d5cfb4d7a93d38e9f4be147c9c		https://www.encodeproject.org/files/ENCFF225POT/@@download/ENCFF225POT.bed.gz	dm3				released	s3://encode-public/2015/10/16/75c077ed-e49e-4828-9d77-bfe8bc0e2548/ENCFF225POT.bed.gz				
