2020-05-29 09:38:50.416012	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&replicates.library.biosample.donor.organism.scientific_name=Drosophila+melanogaster&award.rfa=modERN&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR176PDW/	ENCSR176PDW	Six4	Six4	FactorBook:ENCSR176PDW
/experiments/ENCSR054BLW/	ENCSR054BLW	az2	az2	FactorBook:ENCSR054BLW
/experiments/ENCSR313RIH/	ENCSR313RIH	CG10654	CG10654	FactorBook:ENCSR313RIH
/experiments/ENCSR957XDI/	ENCSR957XDI	CG18764	CG18764	FactorBook:ENCSR957XDI
/experiments/ENCSR486EPD/	ENCSR486EPD	ind	ind	FactorBook:ENCSR486EPD
/experiments/ENCSR456UZW/	ENCSR456UZW	CG2116	CG2116	FactorBook:ENCSR456UZW
/experiments/ENCSR394MHV/	ENCSR394MHV	unpg	unpg	FactorBook:ENCSR394MHV
/experiments/ENCSR392IEL/	ENCSR392IEL	run	run	FactorBook:ENCSR392IEL
/experiments/ENCSR183WTG/	ENCSR183WTG	CG2202	CG2202	FactorBook:ENCSR183WTG
/experiments/ENCSR151WSI/	ENCSR151WSI	CG30403	CG30403	FactorBook:ENCSR151WSI
/experiments/ENCSR399DAW/	ENCSR399DAW	net	net	FactorBook:ENCSR399DAW
/experiments/ENCSR017FMO/	ENCSR017FMO	phol	phol	FactorBook:ENCSR017FMO
/experiments/ENCSR484ZCC/	ENCSR484ZCC	CG15269	CG15269	FactorBook:ENCSR484ZCC
/experiments/ENCSR393VQP/	ENCSR393VQP	CG10267	Zif	FactorBook:ENCSR393VQP
/experiments/ENCSR790NPU/	ENCSR790NPU	CG8159	CG8159	FactorBook:ENCSR790NPU
/experiments/ENCSR591PRH/	ENCSR591PRH	sd	sd	FactorBook:ENCSR591PRH
/experiments/ENCSR367SBM/	ENCSR367SBM	Fer3	Fer3	FactorBook:ENCSR367SBM
/experiments/ENCSR172KOI/	ENCSR172KOI	kay	kay	FactorBook:ENCSR172KOI
/experiments/ENCSR134NKA/	ENCSR134NKA	Nf-YB	Nf-YB	FactorBook:ENCSR134NKA
/experiments/ENCSR310ZJI/	ENCSR310ZJI	bsh	bsh	FactorBook:ENCSR310ZJI
/experiments/ENCSR973GNK/	ENCSR973GNK	zen	zen	FactorBook:ENCSR973GNK
/experiments/ENCSR483VVZ/	ENCSR483VVZ	CG12391	CG12391	FactorBook:ENCSR483VVZ
/experiments/ENCSR365IMJ/	ENCSR365IMJ	dmrt11E	dmrt11E	FactorBook:ENCSR365IMJ
/experiments/ENCSR216AQL/	ENCSR216AQL	vfl	zld	FactorBook:ENCSR216AQL
/experiments/ENCSR584XDP/	ENCSR584XDP	CG7368	CG7368	FactorBook:ENCSR584XDP
/experiments/ENCSR042XCV/	ENCSR042XCV	salr	salr	FactorBook:ENCSR042XCV
/experiments/ENCSR199FME/	ENCSR199FME	grau	grau	FactorBook:ENCSR199FME
/experiments/ENCSR722RUT/	ENCSR722RUT	dpn	dpn	FactorBook:ENCSR722RUT
/experiments/ENCSR631PLV/	ENCSR631PLV	fru	fru	FactorBook:ENCSR631PLV
/experiments/ENCSR943QAF/	ENCSR943QAF	salr	salr	FactorBook:ENCSR943QAF
/experiments/ENCSR059TJM/	ENCSR059TJM	CG3995	CG3995	FactorBook:ENCSR059TJM
/experiments/ENCSR864LDV/	ENCSR864LDV	CG10462	CG10462	FactorBook:ENCSR864LDV
/experiments/ENCSR609JDR/	ENCSR609JDR	abd-A	abd-A	FactorBook:ENCSR609JDR
/experiments/ENCSR599WVE/	ENCSR599WVE	CG10147	CG10147	FactorBook:ENCSR599WVE
/experiments/ENCSR861RPB/	ENCSR861RPB	CG13775	CG13775	FactorBook:ENCSR861RPB
/experiments/ENCSR386BKJ/	ENCSR386BKJ	CG1602	CG1602	FactorBook:ENCSR386BKJ
/experiments/ENCSR418NNG/	ENCSR418NNG	Hey	Hey	FactorBook:ENCSR418NNG
/experiments/ENCSR288BZG/	ENCSR288BZG	HLH106	SREBP	FactorBook:ENCSR288BZG
/experiments/ENCSR421ILX/	ENCSR421ILX	CG10274	CG10274	FactorBook:ENCSR421ILX
/experiments/ENCSR287NIU/	ENCSR287NIU	CG11617	CG11617	FactorBook:ENCSR287NIU
/experiments/ENCSR878RMZ/	ENCSR878RMZ	HHEX	HHEX	FactorBook:ENCSR878RMZ
/experiments/ENCSR233UXG/	ENCSR233UXG	CG6254	CG6254	FactorBook:ENCSR233UXG
/experiments/ENCSR894GQA/	ENCSR894GQA	D	D	FactorBook:ENCSR894GQA
/experiments/ENCSR313TWF/	ENCSR313TWF	CG31365	CG31365	FactorBook:ENCSR313TWF
/experiments/ENCSR810MLF/	ENCSR810MLF	CG17829	CG17829	FactorBook:ENCSR810MLF
/experiments/ENCSR961TSV/	ENCSR961TSV	CG5245	CG5245	FactorBook:ENCSR961TSV
/experiments/ENCSR278IBK/	ENCSR278IBK	CG6808	CG6808	FactorBook:ENCSR278IBK
/experiments/ENCSR821PDI/	ENCSR821PDI	E(spl)mβ-HLH	E(spl)mbeta-HLH	FactorBook:ENCSR821PDI
/experiments/ENCSR698UZG/	ENCSR698UZG	E(spl)mγ-HLH	E(spl)mgamma-HLH	FactorBook:ENCSR698UZG
/experiments/ENCSR365BOA/	ENCSR365BOA	E(spl)m8-HLH	E(spl)m8-HLH	FactorBook:ENCSR365BOA
/experiments/ENCSR280XEB/	ENCSR280XEB	Hr78	Hr78	FactorBook:ENCSR280XEB
