2020-05-29 09:36:08.037968	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.file_type=bed+narrowPeak&award.project=ENCODE&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR663WAR/	ENCSR663WAR	REST	REST	FactorBook:ENCSR663WAR,GEO:GSE101251
/experiments/ENCSR194IJN/	ENCSR194IJN	ZNF766	ZNF766	FactorBook:ENCSR194IJN,GEO:GSE105379
/experiments/ENCSR000BMV/	ENCSR000BMV	FOSL1	FOSL1	GEO:GSM803439,UCSC-ENCODE-hg19:wgEncodeEH001637,FactorBook:ENCSR000BMV
/experiments/ENCSR000AVA/	ENCSR000AVA	CHD7	CHD7	GEO:GSM1003473,UCSC-ENCODE-hg19:wgEncodeEH003136,FactorBook:ENCSR000AVA
/experiments/ENCSR000BQE/	ENCSR000BQE	CTCF	CTCF	GEO:GSM1010774,UCSC-ENCODE-hg19:wgEncodeEH002300,FactorBook:ENCSR000BQE
/experiments/ENCSR239ZLZ/	ENCSR239ZLZ	FOSL1	FOSL1	GEO:GSE105378,FactorBook:ENCSR239ZLZ
/experiments/ENCSR000BJO/	ENCSR000BJO	REST	REST	UCSC-ENCODE-hg19:wgEncodeEH001552,GEO:GSM803370,FactorBook:ENCSR000BJO
/experiments/ENCSR000BJA/	ENCSR000BJA	EGR1	EGR1	GEO:GSM803430,UCSC-ENCODE-hg19:wgEncodeEH001538,FactorBook:ENCSR000BJA
/experiments/ENCSR000DRR/	ENCSR000DRR	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH000451,GEO:GSM749757,FactorBook:ENCSR000DRR
/experiments/ENCSR000EGI/	ENCSR000EGI	MAFF	MAFF	GEO:GSM935520,UCSC-ENCODE-hg19:wgEncodeEH002804,FactorBook:ENCSR000EGI
/experiments/ENCSR000EFD/	ENCSR000EFD	RFX5	RFX5	GEO:GSM1003615,UCSC-ENCODE-hg19:wgEncodeEH003367,FactorBook:ENCSR000EFD
/experiments/ENCSR000DXI/	ENCSR000DXI	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH000437,FactorBook:ENCSR000DXI,GEO:GSM749779
/experiments/ENCSR000EXZ/	ENCSR000EXZ	GATA3	GATA3	UCSC-ENCODE-hg19:wgEncodeEH002031,FactorBook:ENCSR000EXZ,GEO:GSM935567
/experiments/ENCSR000BJW/	ENCSR000BJW	RXRA	RXRA	FactorBook:ENCSR000BJW,GEO:GSM803506,UCSC-ENCODE-hg19:wgEncodeEH001560
/experiments/ENCSR000EVS/	ENCSR000EVS	NR2C2	NR2C2	UCSC-ENCODE-hg19:wgEncodeEH000675,FactorBook:ENCSR000EVS,GEO:GSM935596
/experiments/ENCSR000BKT/	ENCSR000BKT	USF1	USF1	UCSC-ENCODE-hg19:wgEncodeEH001583,FactorBook:ENCSR000BKT,GEO:GSM803441
/experiments/ENCSR000EVK/	ENCSR000EVK	E2F6	E2F6	FactorBook:ENCSR000EVK,UCSC-ENCODE-hg19:wgEncodeEH000692,GEO:GSM935476
/experiments/ENCSR000EUI/	ENCSR000EUI	ZNF274	ZNF274	GEO:GSM935329,UCSC-ENCODE-hg19:wgEncodeEH002866,FactorBook:ENCSR000EUI
/experiments/ENCSR267DFA/	ENCSR267DFA	FOXA1	FOXA1	FactorBook:ENCSR267DFA,GEO:GSE91618
/experiments/ENCSR000EGO/	ENCSR000EGO	RFX5	RFX5	FactorBook:ENCSR000EGO,GEO:GSM935565,UCSC-ENCODE-hg19:wgEncodeEH002033
/experiments/ENCSR702BYX/	ENCSR702BYX	NFIB	NFIB	FactorBook:ENCSR702BYX,GEO:GSE105805
/experiments/ENCSR000DOQ/	ENCSR000DOQ	STAT3	STAT3	FactorBook:ENCSR000DOQ,GEO:GSM935399,UCSC-ENCODE-hg19:wgEncodeEH002836
/experiments/ENCSR000BVO/	ENCSR000BVO	JUND	JUND	GEO:GSM1010718,UCSC-ENCODE-hg19:wgEncodeEH003321,FactorBook:ENCSR000BVO
/experiments/ENCSR000DJX/	ENCSR000DJX	JUND	JUND	UCSC-ENCODE-hg19:wgEncodeEH001211,FactorBook:ENCSR000DJX,GEO:GSM777639
/experiments/ENCSR580IAO/	ENCSR580IAO	ZNF197	ZNF197	FactorBook:ENCSR580IAO,GEO:GSE105745
/experiments/ENCSR000BGA/	ENCSR000BGA	FOXP2	FOXP2	FactorBook:ENCSR000BGA,GEO:GSM803480,UCSC-ENCODE-hg19:wgEncodeEH001460
/experiments/ENCSR000DVP/	ENCSR000DVP	CTCF	CTCF	GEO:GSM749749,UCSC-ENCODE-hg19:wgEncodeEH000410,FactorBook:ENCSR000DVP
/experiments/ENCSR000DVI/	ENCSR000DVI	CTCF	CTCF	GEO:GSM749673,FactorBook:ENCSR000DVI,UCSC-ENCODE-hg19:wgEncodeEH000988
/experiments/ENCSR000DOO/	ENCSR000DOO	FOS	FOS	UCSC-ENCODE-hg19:wgEncodeEH002838,FactorBook:ENCSR000DOO,GEO:GSM935397
/experiments/ENCSR000EDG/	ENCSR000EDG	JUN	JUN	GEO:GSM935341,UCSC-ENCODE-hg19:wgEncodeEH000746,FactorBook:ENCSR000EDG
/experiments/ENCSR000FAT/	ENCSR000FAT	STAT2	STAT2	UCSC-ENCODE-hg19:wgEncodeEH000665,GEO:GSM935470,FactorBook:ENCSR000FAT
/experiments/ENCSR000BGK/	ENCSR000BGK	JUND	JUND	FactorBook:ENCSR000BGK,UCSC-ENCODE-hg19:wgEncodeEH001470,GEO:GSM803500
/experiments/ENCSR582ZOA/	ENCSR582ZOA	NFIB	NFIB	FactorBook:ENCSR582ZOA,GEO:GSE105751
/experiments/ENCSR000BHU/	ENCSR000BHU	RXRA	RXRA	GEO:GSM803452,UCSC-ENCODE-hg19:wgEncodeEH001506,FactorBook:ENCSR000BHU
/experiments/ENCSR000EEB/	ENCSR000EEB	MAFK	MAFK	FactorBook:ENCSR000EEB,UCSC-ENCODE-hg19:wgEncodeEH001842,GEO:GSM935305
/experiments/ENCSR000BOZ/	ENCSR000BOZ	REST	REST	FactorBook:ENCSR000BOZ,GEO:GSM1010735,UCSC-ENCODE-hg19:wgEncodeEH002269
/experiments/ENCSR000EEZ/	ENCSR000EEZ	MAX	MAX	GEO:GSM935572,FactorBook:ENCSR000EEZ,UCSC-ENCODE-hg19:wgEncodeEH000768
/experiments/ENCSR000EBZ/	ENCSR000EBZ	JUND	JUND	UCSC-ENCODE-hg19:wgEncodeEH002023,FactorBook:ENCSR000EBZ,GEO:GSM935434
/experiments/ENCSR000DWE/	ENCSR000DWE	CTCF	CTCF	UCSC-ENCODE-hg19:wgEncodeEH000399,FactorBook:ENCSR000DWE,GEO:GSM749733
/experiments/ENCSR000DOZ/	ENCSR000DOZ	STAT3	STAT3	FactorBook:ENCSR000DOZ,GEO:GSM935591,UCSC-ENCODE-hg19:wgEncodeEH001772
/experiments/ENCSR000BMH/	ENCSR000BMH	YY1	YY1	UCSC-ENCODE-hg19:wgEncodeEH001623,FactorBook:ENCSR000BMH,GEO:GSM803470
/experiments/ENCSR000BNN/	ENCSR000BNN	THAP1	THAP1	UCSC-ENCODE-hg19:wgEncodeEH001655,FactorBook:ENCSR000BNN,GEO:GSM803408
/experiments/ENCSR000DTL/	ENCSR000DTL	CTCF	CTCF	GEO:GSM749745,FactorBook:ENCSR000DTL,UCSC-ENCODE-hg19:wgEncodeEH000983
/experiments/ENCSR000EVQ/	ENCSR000EVQ	TCF7L2	TCF7L2	UCSC-ENCODE-hg19:wgEncodeEH001780,GEO:GSM782122,FactorBook:ENCSR000EVQ
/experiments/ENCSR000DRE/	ENCSR000DRE	CTCF	CTCF	FactorBook:ENCSR000DRE,GEO:GSM749740,UCSC-ENCODE-hg19:wgEncodeEH000448
/experiments/ENCSR000BSU/	ENCSR000BSU	JUND	JUND	FactorBook:ENCSR000BSU,GEO:GSM1010892,UCSC-ENCODE-hg19:wgEncodeEH003236
