2020-05-29 09:37:11.997665	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_title=TF+ChIP-seq&target.investigated_as=transcription+factor&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=target.label&field=target.genes.symbol&field=dbxrefs&award.project=GGR&limit=all
ID	Accession	Target of assay	Target gene symbol	External resources
/experiments/ENCSR432AXE/	ENCSR432AXE	CTCF	CTCF	GEO:GSE92808,FactorBook:ENCSR432AXE
/experiments/ENCSR287UXS/	ENCSR287UXS	CTCF	CTCF	GEO:GSE92797,FactorBook:ENCSR287UXS
/experiments/ENCSR260WCE/	ENCSR260WCE	EP300	EP300	FactorBook:ENCSR260WCE,GEO:GSE91230
/experiments/ENCSR964KSS/	ENCSR964KSS	HES2	HES2	GEO:GSE91368,FactorBook:ENCSR964KSS
/experiments/ENCSR610RKF/	ENCSR610RKF	EP300	EP300	GEO:GSE91299,FactorBook:ENCSR610RKF
/experiments/ENCSR553UWG/	ENCSR553UWG	CTCF	CTCF	FactorBook:ENCSR553UWG,GEO:GSE92814
/experiments/ENCSR013KHB/	ENCSR013KHB	BCL3	BCL3	FactorBook:ENCSR013KHB,GEO:GSE91191
/experiments/ENCSR563GCV/	ENCSR563GCV	FOSL2	FOSL2	GEO:GSE91290,FactorBook:ENCSR563GCV
/experiments/ENCSR047EVQ/	ENCSR047EVQ	EP300	EP300	FactorBook:ENCSR047EVQ,GEO:GSE91196
/experiments/ENCSR186IQL/	ENCSR186IQL	BCL3	BCL3	FactorBook:ENCSR186IQL,GEO:GSE91216
/experiments/ENCSR078POK/	ENCSR078POK	HES2	HES2	GEO:GSE91200,FactorBook:ENCSR078POK
/experiments/ENCSR358ELZ/	ENCSR358ELZ	EP300	EP300	FactorBook:ENCSR358ELZ,GEO:GSE91251
/experiments/ENCSR384KPP/	ENCSR384KPP	CTCF	CTCF	GEO:GSE92803,FactorBook:ENCSR384KPP
/experiments/ENCSR783THJ/	ENCSR783THJ	JUN	JUN	GEO:GSE92827,FactorBook:ENCSR783THJ
/experiments/ENCSR908AOO/	ENCSR908AOO	NR3C1	NR3C1	FactorBook:ENCSR908AOO
/experiments/ENCSR174FJD/	ENCSR174FJD	EP300	EP300	FactorBook:ENCSR174FJD
/experiments/ENCSR886OEO/	ENCSR886OEO	EP300	EP300	FactorBook:ENCSR886OEO
/experiments/ENCSR145YCX/	ENCSR145YCX	EP300	EP300	FactorBook:ENCSR145YCX,GEO:GSE91210
/experiments/ENCSR979IOT/	ENCSR979IOT	HES2	HES2	FactorBook:ENCSR979IOT,GEO:GSE91369
/experiments/ENCSR330IJE/	ENCSR330IJE	FOSL2	FOSL2	FactorBook:ENCSR330IJE,GEO:GSE91244
/experiments/ENCSR841ASB/	ENCSR841ASB	EP300	EP300	FactorBook:ENCSR841ASB,GEO:GSE91344
/experiments/ENCSR775UFR/	ENCSR775UFR	FOSL2	FOSL2	FactorBook:ENCSR775UFR,GEO:GSE91336
/experiments/ENCSR474DCX/	ENCSR474DCX	CEBPB	CEBPB	FactorBook:ENCSR474DCX,GEO:GSE91271
/experiments/ENCSR269IUA/	ENCSR269IUA	CEBPB	CEBPB	FactorBook:ENCSR269IUA,GEO:GSE91231
/experiments/ENCSR770OTI/	ENCSR770OTI	EP300	EP300	GEO:GSE91332,FactorBook:ENCSR770OTI
/experiments/ENCSR425MXK/	ENCSR425MXK	HES2	HES2	FactorBook:ENCSR425MXK,GEO:GSE91261
/experiments/ENCSR067XTW/	ENCSR067XTW	FOSL2	FOSL2	FactorBook:ENCSR067XTW,GEO:GSE91197
/experiments/ENCSR900RUE/	ENCSR900RUE	FOSL2	FOSL2	GEO:GSE91350,FactorBook:ENCSR900RUE
/experiments/ENCSR951SNW/	ENCSR951SNW	HES2	HES2	FactorBook:ENCSR951SNW,GEO:GSE91364
/experiments/ENCSR792VMN/	ENCSR792VMN	EP300	EP300	FactorBook:ENCSR792VMN,GEO:GSE91339
/experiments/ENCSR182OZC/	ENCSR182OZC	CEBPB	CEBPB	GEO:GSE91215,FactorBook:ENCSR182OZC
/experiments/ENCSR216GEB/	ENCSR216GEB	CEBPB	CEBPB	GEO:GSE91221,FactorBook:ENCSR216GEB
/experiments/ENCSR796VBR/	ENCSR796VBR	HES2	HES2	GEO:GSE91340,FactorBook:ENCSR796VBR
/experiments/ENCSR948JXU/	ENCSR948JXU	BCL3	BCL3	FactorBook:ENCSR948JXU,GEO:GSE91362
/experiments/ENCSR299ILN/	ENCSR299ILN	CEBPB	CEBPB	FactorBook:ENCSR299ILN,GEO:GSE91238
