Expt Accession	TF-Target	Target	Tissue	Cell line	Cell type	Generic peak name	New Peak Name
GSE100009	ZZZ3	Rabbit 2616, Laszlo Tora lab	-	-	-	GSE100009_Rabbit_2616_Laszlo_Tora_lab	GSE100009_ZZZ3
GSE100040	HCE	rabbit anti-HCE	-	HCT116	-	GSE100040_rabbit_anti-HCE	GSE100040_HCE
GSE100074	ESR1	ESR1	breast cancer cell line	SUM44	-	GSE100074_ESR1	GSE100074_ESR1
GSE100099	p53	X-DO1, Santa Cruz sc-126 X	-	MCF7	-	GSE100099_X-DO1_Santa_Cruz_sc-126_X	GSE100099_p53
GSE100148	ATRX	ATRX	ATRX in-frame fusion neuroblastoma (patient SJNBL047443)	-	-	GSE100148_ATRX	GSE100148_ATRX
GSE100148	REST	REST	ATRX in-frame fusion neuroblastoma (patient SJNBL047443)	-	-	GSE100148_REST	GSE100148_REST
GSE100266	BRD4	Abcam ab128874	-	-	-	GSE100266_Abcam_ab128874	GSE100266_BRD4
GSE100266	BRG1	Abcam ab110641	-	-	-	GSE100266_Abcam_ab110641	GSE100266_BRG1
GSE100311	HPIP	HPIP antibody	-	-	Chondrocytes	GSE100311_HPIP_antibody	GSE100311_HPIP
GSE100328	ER	ER antibody	-	MCF7	metastatic ER+ breast cancer	GSE100328_ER_antibody	GSE100328_ER
GSE100335	Myc	MYC	-	-	immortalized breast epithelial cells	GSE100335_MYC	GSE100335_Myc
GSE100347	GAS41	Santa Cruz, sc-393708	-	NIH H1299	non-small cell lung cancer	GSE100347_Santa_Cruz_sc-393708	GSE100347_GAS41
GSE100375	L3MBTL3	anti-L3MBTL3	-	MDA-MB-231	-	GSE100375_anti-L3MBTL3	GSE100375_L3MBTL3
GSE100375	RBPSUH	RBPSUH	-	MDA-MB-231	-	GSE100375_RBPSUH	GSE100375_RBPSUH
GSE100400	HBx	HBx	-	-	-	GSE100400_HBx	GSE100400_HBx
GSE100400	NLS-HBx-RFP	NLS-HBx-RFP	-	-	-	GSE100400_NLS-HBx-RFP	GSE100400_NLS-HBx-RFP
GSE100486	CEBPb	C/EBPβ	-	HL-60	myeloblast	GSE100486_CEBPβ	GSE100486_CEBPb
GSE100566	STAT1	STAT1	-	-	essential thrombocythemia	GSE100566_STAT1	GSE100566_STAT1
GSE100566	STAT1	STAT1 pS727	-	-	essential thrombocythemia	GSE100566_STAT1_pS727	GSE100566_STAT1_pS727
GSE100571	TRIM24	TRIM24	-	MOLM-13	acute monocytic leukemia (AML)	GSE100571_TRIM24	GSE100571_TRIM24
GSE100573	TRIM24	TRIM24	-	MOLM-13	acute monocytic leukemia (AML)	GSE100573_TRIM24	GSE100573_TRIM24
GSE100742	NELF-A	NELF-A	Suspension HeLa cells	-	-	GSE100742_NELF-A	GSE100742_NELF-A
GSE100742	SPT5	SPT5	Suspension HeLa cells	-	-	GSE100742_SPT5	GSE100742_SPT5
GSE100789	FOXA1	FoxA1 rabbit ab23738	-	Hec1A	-	GSE100789_FoxA1_rabbit_ab23738	GSE100789_FOXA1
GSE100936	GLI1	anti-Gli1	chondrosarcoma	-	-	GSE100936_anti-Gli1	GSE100936_GLI1
GSE100936	GLI2	anti-Gli2	chondrosarcoma	-	-	GSE100936_anti-Gli2	GSE100936_GLI2
GSE100977	CTCF	CTCF	-	-	-	GSE100977_CTCF	GSE100977_CTCF
GSE100991	CTCF	CTCF	-	-	-	GSE100991_CTCF	GSE100991_CTCF
GSE100996	EHMT2	EHMT2	-	-	-	GSE100996_EHMT2	GSE100996_EHMT2
GSE101007	RBBP5	RBBP5	-	-	-	GSE101007_RBBP5	GSE101007_RbBP5
GSE101014	CHD1	CHD1	-	-	-	GSE101014_CHD1	GSE101014_CHD1
GSE101017	CTCF	CTCF	-	-	-	GSE101017_CTCF	GSE101017_CTCF
GSE101020	CTBP1	CTBP1	-	-	-	GSE101020_CTBP1	GSE101020_CTBP1
GSE101027	EZH2	EZH2	-	-	-	GSE101027_EZH2	GSE101027_EZH2
GSE101029	KDM1A	KDM1A	-	-	-	GSE101029_KDM1A	GSE101029_KDM1A
GSE101040	CHD1	CHD1	-	-	-	GSE101040_CHD1	GSE101040_CHD1
GSE101045	KDM5B	KDM5B	-	-	-	GSE101045_KDM5B	GSE101045_KDM5B
GSE101051	CTCF	CTCF	-	-	-	GSE101051_CTCF	GSE101051_CTCF
GSE101063	HIF-1a	Cayman HIF-1a	-	-	renal tubular cells	GSE101063_Cayman_HIF-1a	GSE101063_HIF-1a
